maintenance_id,equipment_id,unit_id,maintenance_type,maintenance_date,completion_date,downtime_days,maintenance_cost,maintenance_status,failure_category
M-00521,E-01077,U-018,Preventive,2025-12-19,2025-12-21,4,23424.28,In Progress,Software
M-00522,E-00633,U-036,Preventive,2026-03-19,2026-03-23,13,5145.31,Completed,Software
M-00523,E-01694,U-035,Inspection,2026-02-10,2026-02-19,16,13779.49,Overdue,Mechanical
M-00524,E-00362,U-036,Inspection,2025-01-17,2025-01-28,10,11821.97,Overdue,Software
M-00525,E-01581,U-025,Preventive,2026-07-28,2026-08-03,17,19894.09,In Progress,Electrical
M-00526,E-01542,U-029,Preventive,2026-05-02,2026-05-09,8,17220.5,Completed,Software
M-00527,E-00698,U-013,Preventive,2025-09-05,2025-09-16,2,4180.23,In Progress,Mechanical
M-00528,E-00835,U-053,Corrective,2025-03-25,2025-04-06,16,15005.29,In Progress,Electrical
M-00529,E-01529,U-032,Inspection,2026-04-01,2026-04-09,17,16780.4,Completed,Software
M-00530,E-01560,U-024,Inspection,2026-08-07,2026-08-14,7,18080.69,Overdue,No Failure
M-00531,E-01789,U-020,Inspection,2025-08-19,2025-08-25,10,19616.57,In Progress,Software
M-00532,E-00277,U-051,Preventive,2025-03-08,2025-03-20,18,8715.24,In Progress,Power
M-00533,E-00471,U-021,Inspection,2025-12-07,2025-12-08,3,15659.93,In Progress,Power
M-00534,E-01013,U-055,Inspection,2026-05-15,2026-05-22,5,10325.2,Completed,Software
M-00535,E-01602,U-006,Corrective,2026-01-24,2026-01-29,16,17134.68,Overdue,No Failure
M-00536,E-01450,U-009,Inspection,2026-05-06,2026-05-17,5,20347.22,Completed,No Failure
M-00537,E-00091,U-007,Inspection,2026-07-18,2026-07-29,4,1069.41,Completed,No Failure
M-00538,E-01521,U-053,Preventive,2025-09-19,2025-09-28,14,16861.22,Overdue,No Failure
M-00539,E-00810,U-013,Corrective,2025-07-06,2025-07-08,11,12466.85,Overdue,Mechanical
M-00540,E-00221,U-007,Inspection,2025-09-17,2025-09-18,13,11409.97,Overdue,No Failure
M-00541,E-01360,U-036,Preventive,2026-06-08,2026-06-09,9,15963.48,In Progress,Software
M-00542,E-01423,U-014,Preventive,2026-05-11,2026-05-16,6,16644.47,In Progress,Mechanical
M-00543,E-01796,U-060,Corrective,2026-02-08,2026-02-14,5,15669.34,Overdue,Power
M-00544,E-01748,U-044,Corrective,2025-02-15,2025-02-17,15,3545.29,In Progress,Power
M-00545,E-01522,U-008,Preventive,2025-12-06,2025-12-09,7,21683.8,In Progress,Power
M-00546,E-01555,U-008,Corrective,2025-08-29,2025-09-02,14,11850.75,Overdue,Electrical
M-00547,E-01393,U-042,Corrective,2026-05-11,2026-05-19,7,6641.92,Overdue,Power
M-00548,E-00795,U-057,Inspection,2025-12-09,2025-12-17,11,1678.16,Overdue,No Failure
M-00549,E-00019,U-013,Inspection,2025-11-03,2025-11-14,15,15182.0,In Progress,No Failure
M-00550,E-00964,U-007,Preventive,2026-05-04,2026-05-15,6,21752.56,Completed,Electrical
M-00551,E-00175,U-006,Inspection,2026-08-14,2026-08-15,16,21138.04,In Progress,Electrical
M-00552,E-01450,U-009,Inspection,2026-02-27,2026-03-07,9,12126.9,Overdue,No Failure
M-00553,E-00941,U-060,Preventive,2025-05-03,2025-05-08,8,9522.18,In Progress,Software
M-00554,E-01345,U-022,Inspection,2025-09-08,2025-09-09,7,4264.17,Completed,Electrical
M-00555,E-01736,U-032,Corrective,2026-08-10,2026-08-22,5,22147.64,In Progress,Software
M-00556,E-00913,U-011,Corrective,2026-01-24,2026-01-28,11,18367.73,In Progress,Software
M-00557,E-01555,U-008,Inspection,2025-04-06,2025-04-07,16,4808.51,Overdue,Power
M-00558,E-01337,U-014,Corrective,2025-11-01,2025-11-08,9,23708.54,In Progress,No Failure
M-00559,E-00376,U-060,Preventive,2026-01-23,2026-01-28,7,16578.39,Overdue,Power
M-00560,E-00220,U-002,Corrective,2026-08-10,2026-08-13,15,8676.77,Overdue,Mechanical
M-00561,E-00524,U-038,Inspection,2025-08-17,2025-08-18,11,2059.01,Overdue,Mechanical
M-00562,E-00806,U-040,Preventive,2026-02-15,2026-02-16,2,16472.67,Completed,Electrical
M-00563,E-00298,U-044,Preventive,2025-05-01,2025-05-07,3,10026.6,Completed,Electrical
M-00564,E-01046,U-047,Inspection,2026-04-19,2026-05-01,2,21841.83,Overdue,No Failure
M-00565,E-00186,U-023,Inspection,2025-07-29,2025-08-09,12,19246.12,Completed,Electrical
M-00566,E-01534,U-048,Inspection,2025-09-10,2025-09-17,12,23309.74,In Progress,Power
M-00567,E-01568,U-020,Inspection,2025-11-21,2025-12-03,18,10117.89,In Progress,Electrical
M-00568,E-01428,U-054,Corrective,2025-03-04,2025-03-10,10,13162.31,Overdue,No Failure
M-00569,E-00972,U-029,Preventive,2025-04-02,2025-04-14,13,15420.11,Overdue,No Failure
M-00570,E-00667,U-044,Inspection,2025-10-27,2025-11-05,6,24361.87,In Progress,No Failure
M-00571,E-00102,U-003,Inspection,2025-05-11,2025-05-15,7,19510.29,Completed,Power
M-00572,E-00264,U-006,Inspection,2026-02-05,2026-02-15,7,12038.64,In Progress,Electrical
M-00573,E-00041,U-029,Preventive,2025-06-10,2025-06-14,14,19067.19,Overdue,Mechanical
M-00574,E-00156,U-056,Corrective,2026-01-04,2026-01-12,3,17483.12,Overdue,Software
M-00575,E-00139,U-059,Corrective,2026-06-23,2026-06-26,12,2046.55,Overdue,Mechanical
M-00576,E-01632,U-016,Preventive,2026-02-28,2026-03-08,14,16827.62,In Progress,Mechanical
M-00577,E-01143,U-009,Preventive,2025-06-10,2025-06-14,12,9357.51,Completed,Software
M-00578,E-00662,U-030,Corrective,2026-07-24,2026-08-04,1,21805.85,In Progress,Power
M-00579,E-00012,U-060,Preventive,2025-06-04,2025-06-13,6,15404.65,Completed,Power
M-00580,E-00731,U-006,Inspection,2025-05-28,2025-06-05,17,15505.42,Completed,Mechanical
M-00581,E-01488,U-008,Corrective,2025-07-18,2025-07-28,14,7857.86,Completed,Electrical
M-00582,E-01078,U-024,Inspection,2025-11-14,2025-11-22,9,10602.82,Overdue,Mechanical
M-00583,E-00658,U-032,Corrective,2025-02-04,2025-02-15,5,22473.22,Completed,No Failure
M-00584,E-01553,U-002,Preventive,2025-01-11,2025-01-20,12,18286.37,Completed,Software
M-00585,E-01119,U-007,Inspection,2025-02-20,2025-02-28,11,10376.47,In Progress,Mechanical
M-00586,E-01537,U-025,Inspection,2025-01-27,2025-02-07,11,13801.95,Overdue,No Failure
M-00587,E-00656,U-054,Preventive,2026-06-27,2026-06-29,1,14269.29,Overdue,Software
M-00588,E-01394,U-036,Corrective,2026-03-07,2026-03-17,16,20191.03,In Progress,Mechanical
M-00589,E-01024,U-012,Preventive,2026-03-22,2026-04-01,7,11440.15,Overdue,Software
M-00590,E-00875,U-048,Preventive,2026-01-21,2026-01-28,10,10022.22,In Progress,Power
M-00591,E-00450,U-003,Corrective,2025-08-28,2025-09-05,15,7274.3,Overdue,Electrical
M-00592,E-00469,U-037,Corrective,2025-07-23,2025-08-02,5,4327.32,Overdue,Electrical
M-00593,E-00349,U-026,Preventive,2026-05-30,2026-06-09,3,8950.74,Completed,Power
M-00594,E-00994,U-004,Preventive,2025-10-25,2025-11-03,16,6499.41,In Progress,No Failure
M-00595,E-00662,U-030,Preventive,2025-06-18,2025-06-28,10,712.49,Overdue,No Failure
M-00596,E-00518,U-019,Preventive,2026-04-30,2026-05-07,1,15795.69,Overdue,Software
M-00597,E-00875,U-048,Inspection,2025-06-17,2025-06-19,9,9207.37,Overdue,Electrical
M-00598,E-00924,U-060,Corrective,2025-08-30,2025-09-06,1,14517.44,Overdue,Mechanical
M-00599,E-01190,U-030,Inspection,2025-04-28,2025-05-07,3,11257.55,In Progress,Electrical
M-00600,E-01476,U-048,Corrective,2025-08-26,2025-09-02,12,5522.15,In Progress,Software
M-00601,E-01080,U-060,Inspection,2025-12-25,2026-01-02,10,12896.15,Overdue,Mechanical
M-00602,E-01341,U-023,Corrective,2026-01-06,2026-01-08,8,3274.17,Overdue,Software
M-00603,E-01097,U-038,Corrective,2025-09-17,2025-09-22,13,2080.74,In Progress,Power
M-00604,E-01730,U-054,Corrective,2026-08-02,2026-08-05,11,12232.85,In Progress,Electrical
M-00605,E-00990,U-029,Preventive,2025-10-12,2025-10-20,6,2444.29,Completed,Software
M-00606,E-00562,U-014,Corrective,2026-06-12,2026-06-20,12,9895.46,Completed,Software
M-00607,E-00167,U-011,Inspection,2026-07-16,2026-07-25,16,8636.7,In Progress,Software
M-00608,E-01783,U-013,Preventive,2026-07-05,2026-07-08,6,20442.41,Completed,No Failure
M-00609,E-00123,U-021,Inspection,2025-11-28,2025-11-29,11,7522.99,Overdue,No Failure
M-00610,E-00898,U-020,Corrective,2025-08-24,2025-08-30,18,9425.85,Completed,Mechanical
M-00611,E-01494,U-014,Preventive,2026-08-04,2026-08-14,8,7292.6,Completed,Mechanical
M-00612,E-00838,U-045,Inspection,2025-05-09,2025-05-21,16,3027.15,Completed,Power
M-00613,E-01250,U-001,Preventive,2025-08-28,2025-08-29,14,8737.75,Completed,Mechanical
M-00614,E-01797,U-023,Inspection,2025-07-19,2025-07-25,16,8187.33,Overdue,Software
M-00615,E-00042,U-011,Corrective,2026-08-08,2026-08-11,17,5054.66,Overdue,No Failure
M-00616,E-01218,U-060,Preventive,2026-02-18,2026-02-27,16,14223.44,Overdue,Mechanical
M-00617,E-01297,U-043,Inspection,2026-04-27,2026-05-08,18,4084.35,Overdue,Electrical
M-00618,E-00390,U-044,Corrective,2026-04-22,2026-04-26,2,14905.75,In Progress,Electrical
M-00619,E-00450,U-003,Inspection,2026-06-12,2026-06-16,14,21215.82,In Progress,No Failure
M-00620,E-01166,U-030,Inspection,2026-05-27,2026-06-06,16,12829.5,In Progress,Mechanical
M-00621,E-00023,U-011,Inspection,2025-02-26,2025-03-09,10,7297.31,In Progress,No Failure
M-00622,E-00909,U-006,Inspection,2025-05-24,2025-05-31,6,23656.29,Overdue,No Failure
M-00623,E-01406,U-018,Preventive,2025-03-25,2025-04-02,8,17911.42,Overdue,Power
M-00624,E-00829,U-005,Preventive,2025-12-31,2026-01-08,17,4379.3,In Progress,Electrical
M-00625,E-00487,U-053,Corrective,2025-01-17,2025-01-27,10,16932.42,Overdue,Mechanical
M-00626,E-00872,U-006,Preventive,2026-05-27,2026-05-29,15,11330.88,Completed,Software
M-00627,E-01129,U-025,Preventive,2026-03-29,2026-04-03,11,14063.59,Overdue,Software
M-00628,E-01611,U-032,Corrective,2026-07-21,2026-08-01,2,24564.37,Overdue,Software
M-00629,E-00623,U-025,Corrective,2025-01-08,2025-01-14,11,19237.95,Overdue,Software
M-00630,E-01652,U-048,Corrective,2025-01-03,2025-01-07,13,8798.93,Overdue,Electrical
M-00631,E-00291,U-011,Inspection,2026-03-24,2026-03-28,12,1314.3,In Progress,No Failure
M-00632,E-00716,U-050,Preventive,2025-03-26,2025-03-27,14,15347.24,In Progress,Power
M-00633,E-00133,U-041,Inspection,2025-05-12,2025-05-14,11,10009.1,Completed,Software
M-00634,E-00922,U-017,Preventive,2025-01-29,2025-02-06,17,23453.31,Completed,Electrical
M-00635,E-01166,U-030,Preventive,2026-07-25,2026-07-27,10,24473.83,Overdue,Software
M-00636,E-00350,U-054,Preventive,2025-11-14,2025-11-18,16,3033.91,Completed,No Failure
M-00637,E-01784,U-028,Inspection,2026-03-13,2026-03-17,2,20807.49,Overdue,Mechanical
M-00638,E-01087,U-039,Preventive,2025-08-09,2025-08-16,18,6889.7,Overdue,Power
M-00639,E-01763,U-037,Inspection,2026-03-12,2026-03-14,14,11354.61,Completed,Software
M-00640,E-00809,U-009,Corrective,2026-03-12,2026-03-23,14,1625.23,In Progress,Electrical
M-00641,E-00985,U-012,Corrective,2026-01-16,2026-01-26,12,11498.11,Completed,Mechanical
M-00642,E-00596,U-036,Preventive,2025-04-13,2025-04-19,15,12294.08,Overdue,Power
M-00643,E-00725,U-016,Corrective,2025-01-13,2025-01-14,6,8541.13,Overdue,Software
M-00644,E-01334,U-019,Inspection,2026-05-30,2026-06-01,1,15890.48,In Progress,Mechanical
M-00645,E-01083,U-030,Preventive,2026-04-04,2026-04-08,11,12368.56,In Progress,Mechanical
M-00646,E-01607,U-013,Inspection,2026-04-29,2026-05-02,2,13396.67,Completed,Mechanical
M-00647,E-00234,U-031,Corrective,2025-01-17,2025-01-19,12,1952.05,In Progress,Mechanical
M-00648,E-01188,U-059,Preventive,2025-09-08,2025-09-15,13,837.54,Overdue,No Failure
M-00649,E-00877,U-030,Preventive,2025-04-28,2025-05-04,12,15927.32,In Progress,No Failure
M-00650,E-00474,U-015,Preventive,2025-10-19,2025-10-31,9,11291.04,Overdue,Mechanical
M-00651,E-00093,U-044,Preventive,2025-02-13,2025-02-18,11,14023.9,Completed,Software
M-00652,E-01203,U-045,Preventive,2025-05-22,2025-06-02,16,1066.04,Overdue,Software
M-00653,E-01397,U-026,Inspection,2025-02-08,2025-02-15,10,15371.06,In Progress,Software
M-00654,E-00496,U-013,Corrective,2025-12-07,2025-12-18,12,18608.0,Overdue,Software
M-00655,E-00084,U-007,Inspection,2025-08-19,2025-08-26,7,14279.35,In Progress,Mechanical
M-00656,E-00998,U-044,Preventive,2025-05-24,2025-05-29,12,8467.58,Overdue,No Failure
M-00657,E-00993,U-012,Inspection,2025-02-09,2025-02-21,8,6274.96,Completed,Mechanical
M-00658,E-01785,U-003,Corrective,2025-07-08,2025-07-13,14,10333.75,Completed,Software
M-00659,E-00073,U-049,Inspection,2025-02-11,2025-02-12,9,9245.67,Overdue,Software
M-00660,E-00038,U-043,Inspection,2025-10-07,2025-10-19,18,21760.61,Overdue,Electrical
M-00661,E-01016,U-026,Corrective,2025-06-19,2025-06-21,10,751.02,Overdue,Electrical
M-00662,E-00225,U-006,Preventive,2026-03-25,2026-04-04,17,23657.91,Completed,No Failure
M-00663,E-01020,U-005,Inspection,2025-01-15,2025-01-24,4,22244.73,In Progress,Software
M-00664,E-01149,U-006,Preventive,2025-04-16,2025-04-17,8,21519.3,Overdue,Mechanical
M-00665,E-00778,U-057,Inspection,2025-04-22,2025-04-25,18,2850.29,Completed,No Failure
M-00666,E-00781,U-010,Corrective,2025-09-16,2025-09-21,14,9933.85,Completed,Mechanical
M-00667,E-00900,U-035,Preventive,2025-08-26,2025-08-29,12,5866.38,Completed,Power
M-00668,E-00904,U-005,Inspection,2026-02-17,2026-02-26,15,10169.22,Completed,Software
M-00669,E-00727,U-017,Inspection,2026-05-26,2026-06-06,10,12462.92,In Progress,No Failure
M-00670,E-01138,U-007,Inspection,2025-03-03,2025-03-13,17,15613.93,In Progress,No Failure
M-00671,E-00955,U-007,Inspection,2025-08-26,2025-08-30,3,19081.89,In Progress,No Failure
M-00672,E-00869,U-021,Corrective,2025-02-07,2025-02-10,13,23476.66,Completed,Mechanical
M-00673,E-01709,U-017,Corrective,2025-09-16,2025-09-18,14,8657.73,In Progress,Mechanical
M-00674,E-01569,U-048,Corrective,2025-04-18,2025-04-21,14,6900.28,In Progress,Software
M-00675,E-01516,U-020,Inspection,2025-05-27,2025-06-03,10,18345.81,In Progress,Mechanical
M-00676,E-00177,U-038,Preventive,2026-08-11,2026-08-15,15,14163.77,In Progress,Software
M-00677,E-01037,U-049,Corrective,2026-05-12,2026-05-15,1,15272.04,Overdue,Power
M-00678,E-00910,U-030,Inspection,2025-09-10,2025-09-17,11,18530.6,In Progress,Power
M-00679,E-01673,U-028,Inspection,2026-05-02,2026-05-09,1,17773.32,In Progress,Mechanical
M-00680,E-01352,U-016,Corrective,2025-05-04,2025-05-11,9,21199.02,In Progress,No Failure
M-00681,E-01632,U-016,Corrective,2025-06-24,2025-07-06,4,5163.21,Completed,Mechanical
M-00682,E-00318,U-004,Corrective,2025-11-30,2025-12-06,13,2614.68,Completed,Power
M-00683,E-01674,U-021,Inspection,2026-03-17,2026-03-20,3,5591.63,In Progress,No Failure
M-00684,E-01768,U-037,Corrective,2026-01-04,2026-01-06,1,14603.17,In Progress,Mechanical
M-00685,E-00272,U-015,Preventive,2026-01-06,2026-01-14,11,662.39,In Progress,Software
M-00686,E-01031,U-049,Inspection,2025-03-05,2025-03-10,17,23105.19,Overdue,No Failure
M-00687,E-00899,U-044,Corrective,2025-06-10,2025-06-12,5,10086.64,Completed,Mechanical
M-00688,E-00067,U-041,Inspection,2025-07-08,2025-07-18,7,12473.47,Completed,Power
M-00689,E-00311,U-054,Corrective,2026-02-21,2026-02-24,15,6562.73,Completed,Electrical
M-00690,E-00257,U-052,Corrective,2026-04-05,2026-04-17,14,11254.67,In Progress,Software
M-00691,E-00688,U-013,Inspection,2026-06-03,2026-06-05,10,19176.75,Overdue,Electrical
M-00692,E-01312,U-012,Corrective,2026-04-14,2026-04-24,5,24402.96,In Progress,Mechanical
M-00693,E-01244,U-024,Preventive,2025-07-18,2025-07-22,14,12480.1,Overdue,Electrical
M-00694,E-00322,U-011,Corrective,2026-02-17,2026-02-26,9,17878.26,Overdue,No Failure
M-00695,E-01407,U-020,Preventive,2025-12-05,2025-12-12,14,22490.33,Overdue,Software
M-00696,E-00429,U-059,Preventive,2025-07-11,2025-07-15,3,10222.4,Overdue,Power
M-00697,E-01791,U-006,Corrective,2025-04-20,2025-04-28,1,8867.81,In Progress,No Failure
M-00698,E-00425,U-045,Inspection,2026-07-22,2026-07-31,8,5140.58,Completed,Mechanical
M-00699,E-01630,U-014,Inspection,2025-04-09,2025-04-10,4,10251.32,In Progress,Software
M-00700,E-01675,U-043,Preventive,2025-01-12,2025-01-16,14,3811.71,Completed,No Failure
M-00701,E-01785,U-003,Inspection,2025-08-16,2025-08-25,12,23898.38,Completed,No Failure
M-00702,E-00725,U-016,Inspection,2025-10-10,2025-10-14,16,13832.35,Completed,Mechanical
M-00703,E-00993,U-012,Corrective,2025-09-09,2025-09-11,11,14705.15,Completed,No Failure
M-00704,E-01380,U-014,Corrective,2026-01-22,2026-01-23,17,10795.86,Completed,Power
M-00705,E-01466,U-044,Corrective,2026-01-25,2026-01-26,10,10230.86,Completed,Electrical
M-00706,E-01338,U-046,Preventive,2025-06-28,2025-07-03,16,14028.77,Overdue,Power
M-00707,E-00297,U-036,Preventive,2025-12-11,2025-12-22,18,24831.68,Completed,Electrical
M-00708,E-01314,U-024,Preventive,2025-04-12,2025-04-18,2,23908.97,Completed,No Failure
M-00709,E-00124,U-001,Corrective,2026-06-27,2026-06-28,3,8415.42,In Progress,Software
M-00710,E-01192,U-008,Inspection,2026-05-24,2026-05-25,13,3830.73,Overdue,Software
M-00711,E-00132,U-033,Inspection,2025-02-08,2025-02-18,16,16242.9,Completed,Electrical
M-00712,E-01088,U-008,Corrective,2026-02-10,2026-02-16,2,24525.19,Completed,Electrical
M-00713,E-01132,U-021,Corrective,2025-04-06,2025-04-15,6,3285.91,Completed,Electrical
M-00714,E-00463,U-009,Preventive,2026-04-28,2026-04-29,17,17304.64,In Progress,No Failure
M-00715,E-00575,U-051,Inspection,2025-07-22,2025-07-23,7,15668.46,Overdue,Power
M-00716,E-00054,U-009,Corrective,2025-02-23,2025-03-07,13,4838.52,Completed,Electrical
M-00717,E-00015,U-006,Inspection,2025-07-01,2025-07-06,16,7492.7,In Progress,Electrical
M-00718,E-01278,U-052,Inspection,2026-06-20,2026-06-29,17,15593.1,Completed,Power
M-00719,E-00345,U-051,Preventive,2026-04-18,2026-04-27,4,22299.07,Completed,Power
M-00720,E-01221,U-019,Preventive,2025-08-01,2025-08-04,15,16930.21,Completed,Mechanical
M-00721,E-00525,U-005,Preventive,2025-02-08,2025-02-13,8,13991.35,In Progress,Electrical
M-00722,E-01579,U-059,Corrective,2026-01-12,2026-01-16,3,12893.57,In Progress,Mechanical
M-00723,E-00740,U-031,Corrective,2025-10-02,2025-10-11,2,1907.05,Overdue,Software
M-00724,E-00356,U-055,Corrective,2025-10-04,2025-10-08,13,10571.73,Overdue,Software
M-00725,E-00496,U-013,Corrective,2026-05-05,2026-05-11,12,16383.94,In Progress,Mechanical
M-00726,E-01115,U-025,Inspection,2025-09-07,2025-09-15,12,1447.97,Overdue,Electrical
M-00727,E-01532,U-057,Preventive,2026-04-21,2026-05-01,2,18427.77,Completed,Electrical
M-00728,E-01617,U-036,Preventive,2025-05-29,2025-06-09,3,19943.2,In Progress,Software
M-00729,E-01448,U-032,Preventive,2026-05-28,2026-06-02,7,5632.21,Completed,Mechanical
M-00730,E-01379,U-020,Inspection,2026-03-07,2026-03-14,9,950.47,Completed,No Failure
M-00731,E-00640,U-051,Preventive,2026-02-20,2026-02-22,7,24730.1,Completed,Mechanical
M-00732,E-00381,U-056,Corrective,2025-01-08,2025-01-11,6,20331.58,In Progress,No Failure
M-00733,E-01407,U-020,Preventive,2026-08-04,2026-08-06,13,18709.41,Completed,Electrical
M-00734,E-00817,U-050,Preventive,2025-08-21,2025-08-23,13,2815.03,Completed,Software
M-00735,E-00320,U-029,Preventive,2025-07-14,2025-07-15,3,12146.29,Overdue,Electrical
M-00736,E-00248,U-005,Corrective,2025-10-30,2025-11-07,9,1631.93,Completed,Software
M-00737,E-01364,U-056,Corrective,2026-08-10,2026-08-11,18,2303.27,Overdue,No Failure
M-00738,E-00012,U-060,Corrective,2025-12-07,2025-12-15,8,16123.35,Completed,Electrical
M-00739,E-00463,U-009,Inspection,2026-01-09,2026-01-15,3,12060.14,In Progress,Power
M-00740,E-00741,U-060,Corrective,2025-07-06,2025-07-08,8,16477.92,Completed,Power
M-00741,E-01443,U-053,Inspection,2025-07-10,2025-07-17,16,24859.07,Completed,Electrical
M-00742,E-00849,U-003,Inspection,2025-12-01,2025-12-08,1,4629.02,Overdue,Power
M-00743,E-00396,U-028,Corrective,2026-01-11,2026-01-19,15,7544.94,Overdue,Mechanical
M-00744,E-01188,U-059,Corrective,2025-02-14,2025-02-22,3,12710.2,Completed,Power
M-00745,E-00264,U-006,Inspection,2026-05-23,2026-06-02,16,17505.41,Overdue,Mechanical
M-00746,E-00335,U-043,Preventive,2026-02-08,2026-02-14,17,11882.45,Overdue,Software
M-00747,E-01441,U-017,Inspection,2026-06-21,2026-07-03,4,10325.58,Overdue,Software
M-00748,E-01766,U-022,Preventive,2025-09-13,2025-09-21,4,8272.59,Completed,No Failure
M-00749,E-00137,U-057,Preventive,2025-09-22,2025-10-04,9,3342.23,In Progress,Software
M-00750,E-00639,U-060,Corrective,2026-01-09,2026-01-16,15,5812.42,Overdue,Power
M-00751,E-00909,U-006,Inspection,2025-03-18,2025-03-26,9,2764.0,Completed,Electrical
M-00752,E-00824,U-056,Corrective,2025-11-25,2025-12-01,2,13797.34,In Progress,No Failure
M-00753,E-00394,U-012,Preventive,2025-09-18,2025-09-20,3,23361.92,In Progress,No Failure
M-00754,E-00946,U-029,Corrective,2025-01-30,2025-02-01,7,16431.16,Completed,No Failure
M-00755,E-00213,U-035,Corrective,2025-05-09,2025-05-13,18,5930.59,Completed,Software
M-00756,E-01294,U-022,Corrective,2025-03-31,2025-04-03,1,23469.32,In Progress,Electrical
M-00757,E-01203,U-045,Corrective,2026-01-25,2026-02-01,9,799.28,Completed,Software
M-00758,E-00131,U-020,Corrective,2025-11-21,2025-11-24,13,18208.56,Overdue,Electrical
M-00759,E-01133,U-007,Corrective,2025-06-02,2025-06-04,4,10818.07,In Progress,Power
M-00760,E-00556,U-003,Corrective,2025-06-26,2025-07-07,3,20987.29,In Progress,Electrical
M-00761,E-00650,U-029,Inspection,2025-10-26,2025-11-02,14,4040.1,Overdue,Power
M-00762,E-00260,U-052,Preventive,2025-08-23,2025-09-03,14,22416.62,In Progress,Power
M-00763,E-01521,U-053,Preventive,2025-03-17,2025-03-24,17,6911.93,Completed,Power
M-00764,E-01062,U-041,Preventive,2025-12-23,2026-01-03,11,15527.85,Completed,Mechanical
M-00765,E-01412,U-048,Corrective,2026-03-09,2026-03-15,5,2083.43,In Progress,Mechanical
M-00766,E-00870,U-042,Corrective,2025-09-21,2025-09-25,8,2914.46,In Progress,Mechanical
M-00767,E-01189,U-003,Preventive,2025-11-19,2025-11-26,2,19588.64,Overdue,Mechanical
M-00768,E-00212,U-040,Inspection,2025-04-09,2025-04-13,16,24519.79,Overdue,No Failure
M-00769,E-00459,U-001,Inspection,2025-10-25,2025-11-01,8,16002.04,Overdue,No Failure
M-00770,E-01017,U-033,Inspection,2026-07-11,2026-07-22,2,16154.87,Overdue,Electrical
M-00771,E-01181,U-040,Corrective,2025-11-25,2025-12-07,13,1811.07,Overdue,Software
M-00772,E-00466,U-048,Corrective,2025-01-15,2025-01-17,11,16032.96,In Progress,Mechanical
M-00773,E-01001,U-037,Corrective,2025-11-10,2025-11-14,8,7052.89,Completed,Mechanical
M-00774,E-01341,U-023,Preventive,2026-04-26,2026-05-03,16,1343.49,Overdue,Electrical
M-00775,E-01029,U-019,Preventive,2026-01-04,2026-01-10,8,2374.33,Overdue,Electrical
M-00776,E-01633,U-032,Preventive,2025-11-24,2025-11-29,1,19981.49,Completed,Electrical
M-00777,E-00038,U-043,Inspection,2025-03-26,2025-03-28,17,8523.11,In Progress,Software
M-00778,E-01173,U-023,Corrective,2026-04-04,2026-04-15,1,18574.91,In Progress,Power
M-00779,E-01157,U-051,Corrective,2025-01-22,2025-02-03,12,1296.48,In Progress,Electrical
M-00780,E-01169,U-007,Inspection,2025-06-06,2025-06-08,17,7039.08,Overdue,Power
M-00781,E-00800,U-011,Inspection,2026-02-12,2026-02-13,13,23684.99,Overdue,Software
M-00782,E-01241,U-056,Corrective,2025-06-26,2025-06-28,14,23527.75,Completed,No Failure
M-00783,E-01223,U-032,Corrective,2025-12-21,2025-12-22,13,4848.79,In Progress,Software
M-00784,E-01324,U-006,Inspection,2025-01-27,2025-02-05,2,10146.94,Completed,No Failure
M-00785,E-01561,U-002,Preventive,2025-05-06,2025-05-17,4,11778.57,Overdue,Mechanical
M-00786,E-01235,U-038,Inspection,2025-05-23,2025-05-26,6,5636.85,Completed,Power
M-00787,E-00675,U-011,Corrective,2026-02-04,2026-02-12,5,8982.3,Overdue,Power
M-00788,E-01064,U-044,Corrective,2025-12-19,2025-12-21,14,4784.15,In Progress,No Failure
M-00789,E-00535,U-007,Preventive,2025-04-05,2025-04-10,6,12671.72,Overdue,Electrical
M-00790,E-00387,U-053,Preventive,2025-05-28,2025-06-03,16,6196.82,In Progress,Mechanical
M-00791,E-00369,U-019,Inspection,2025-04-14,2025-04-19,5,790.7,In Progress,Power
M-00792,E-00072,U-051,Inspection,2026-03-26,2026-03-30,16,6892.15,In Progress,Software
M-00793,E-00933,U-034,Inspection,2025-03-09,2025-03-21,10,4015.11,Completed,Mechanical
M-00794,E-01161,U-003,Inspection,2025-05-20,2025-05-26,8,23831.91,Overdue,No Failure
M-00795,E-01769,U-027,Corrective,2026-08-12,2026-08-18,18,12546.56,Overdue,Software
M-00796,E-00459,U-001,Corrective,2026-02-09,2026-02-20,6,12469.8,In Progress,Software
M-00797,E-00714,U-057,Preventive,2026-04-10,2026-04-14,17,18180.68,Completed,Electrical
M-00798,E-01395,U-056,Preventive,2025-03-15,2025-03-25,5,2584.15,In Progress,No Failure
M-00799,E-00209,U-060,Preventive,2025-03-17,2025-03-28,7,1742.76,Completed,Electrical
M-00800,E-00673,U-043,Corrective,2025-07-12,2025-07-23,2,4863.94,In Progress,Electrical
M-00801,E-01182,U-018,Inspection,2025-10-13,2025-10-18,4,4678.0,Completed,Power
M-00802,E-00372,U-004,Preventive,2025-08-22,2025-08-23,18,12360.35,Completed,Software
M-00803,E-01542,U-029,Inspection,2025-11-26,2025-12-04,2,23557.67,Overdue,Software
M-00804,E-00624,U-002,Inspection,2025-08-01,2025-08-03,8,12260.94,Overdue,Mechanical
