personnel_id,unit_id,rank,role,specialization,training_status,training_completion_percentage,deployment_status,joining_date
P-00802,U-050,Officer,Analyst,Planning,In Progress,56.9,Training,2024-05-31
P-00803,U-039,Junior,Logistics,Systems,In Progress,79.1,Deployed,2023-02-15
P-00804,U-053,Senior,Logistics,Planning,Complete,94.5,Training,2018-06-10
P-00805,U-036,Junior,Engineer,Operations,In Progress,72.4,Deployed,2022-06-19
P-00806,U-057,Lead,Medic,Maintenance,In Progress,68.7,Deployed,2021-04-20
P-00807,U-040,Senior,Medic,Planning,Complete,96.4,Available,2026-02-07
P-00808,U-033,Senior,Medic,Planning,In Progress,60.1,Deployed,2023-01-21
P-00809,U-002,Senior,Medic,Systems,In Progress,63.0,Deployed,2021-08-20
P-00810,U-045,Senior,Operator,Systems,In Progress,84.2,Available,2025-12-02
P-00811,U-029,Junior,Logistics,Planning,In Progress,83.5,Training,2023-09-27
P-00812,U-040,Officer,Logistics,Planning,Complete,97.7,Available,2019-12-01
P-00813,U-059,Senior,Engineer,Maintenance,In Progress,70.1,Available,2025-12-26
P-00814,U-004,Lead,Medic,Operations,In Progress,73.9,Training,2020-01-11
P-00815,U-008,Senior,Operator,Operations,Complete,95.4,Available,2023-02-22
P-00816,U-032,Junior,Logistics,Planning,Complete,93.5,Available,2020-06-07
P-00817,U-038,Officer,Medic,Planning,In Progress,84.7,Available,2024-09-28
P-00818,U-039,Lead,Logistics,Maintenance,In Progress,55.3,Available,2020-01-28
P-00819,U-010,Lead,Operator,Maintenance,In Progress,57.5,Available,2025-06-25
P-00820,U-037,Lead,Analyst,Systems,Complete,92.7,Available,2019-03-23
P-00821,U-027,Senior,Analyst,Maintenance,Complete,99.7,Deployed,2024-06-29
P-00822,U-024,Junior,Analyst,Operations,Complete,96.9,Deployed,2022-04-02
P-00823,U-053,Officer,Logistics,Systems,In Progress,58.0,Deployed,2023-04-13
P-00824,U-009,Lead,Analyst,Planning,In Progress,60.5,Training,2020-05-09
P-00825,U-045,Junior,Operator,Systems,In Progress,64.4,Deployed,2026-02-13
P-00826,U-045,Lead,Medic,Operations,In Progress,82.2,Deployed,2023-11-23
P-00827,U-037,Lead,Engineer,Planning,Complete,99.8,Training,2026-03-06
P-00828,U-041,Senior,Logistics,Maintenance,In Progress,77.4,Training,2021-04-04
P-00829,U-013,Junior,Medic,Systems,In Progress,55.1,Training,2020-04-29
P-00830,U-052,Officer,Medic,Systems,In Progress,82.7,Deployed,2021-12-03
P-00831,U-036,Senior,Operator,Maintenance,Complete,91.3,Training,2021-02-27
P-00832,U-017,Lead,Analyst,Operations,Complete,90.6,Available,2019-04-12
P-00833,U-044,Officer,Logistics,Systems,In Progress,70.0,Available,2020-03-05
P-00834,U-022,Officer,Medic,Systems,Complete,92.5,Training,2019-07-11
P-00835,U-031,Officer,Logistics,Operations,In Progress,62.0,Deployed,2022-08-23
P-00836,U-060,Lead,Logistics,Operations,In Progress,88.4,Training,2024-01-04
P-00837,U-002,Lead,Analyst,Systems,In Progress,64.4,Available,2021-02-22
P-00838,U-054,Officer,Logistics,Maintenance,In Progress,56.4,Training,2024-10-16
P-00839,U-025,Junior,Analyst,Operations,In Progress,63.4,Training,2018-05-10
P-00840,U-018,Officer,Engineer,Operations,In Progress,73.6,Deployed,2021-05-24
P-00841,U-014,Senior,Operator,Operations,In Progress,78.6,Available,2020-04-07
P-00842,U-059,Junior,Medic,Maintenance,In Progress,59.2,Available,2021-10-25
P-00843,U-060,Lead,Analyst,Maintenance,In Progress,76.8,Available,2023-10-16
P-00844,U-044,Senior,Operator,Planning,Complete,99.7,Deployed,2026-01-02
P-00845,U-056,Junior,Analyst,Systems,In Progress,78.5,Training,2024-08-31
P-00846,U-056,Officer,Operator,Systems,In Progress,58.9,Training,2025-05-23
P-00847,U-048,Lead,Engineer,Operations,In Progress,69.1,Available,2020-02-28
P-00848,U-019,Lead,Medic,Systems,In Progress,67.4,Deployed,2019-09-04
P-00849,U-011,Junior,Logistics,Systems,In Progress,67.3,Available,2024-02-01
P-00850,U-023,Lead,Engineer,Operations,In Progress,79.7,Training,2020-09-29
P-00851,U-011,Lead,Logistics,Planning,In Progress,58.2,Available,2019-06-17
P-00852,U-002,Junior,Operator,Planning,In Progress,76.2,Available,2018-12-19
P-00853,U-028,Officer,Logistics,Operations,In Progress,72.6,Deployed,2021-09-23
P-00854,U-053,Junior,Medic,Maintenance,In Progress,63.9,Available,2025-11-01
P-00855,U-030,Lead,Medic,Planning,In Progress,59.4,Available,2020-07-05
P-00856,U-010,Lead,Analyst,Planning,Complete,93.7,Available,2025-11-05
P-00857,U-059,Lead,Medic,Planning,In Progress,84.9,Available,2018-09-25
P-00858,U-031,Officer,Medic,Maintenance,In Progress,60.1,Deployed,2021-11-28
P-00859,U-039,Junior,Medic,Systems,In Progress,80.9,Deployed,2024-03-27
P-00860,U-042,Lead,Logistics,Planning,In Progress,58.2,Deployed,2024-08-15
P-00861,U-027,Senior,Logistics,Maintenance,In Progress,65.7,Deployed,2022-04-22
P-00862,U-005,Officer,Medic,Operations,In Progress,70.3,Training,2025-10-14
P-00863,U-016,Junior,Logistics,Planning,In Progress,62.8,Available,2024-08-22
P-00864,U-039,Junior,Medic,Maintenance,In Progress,75.8,Deployed,2022-07-21
P-00865,U-005,Officer,Analyst,Planning,In Progress,81.9,Training,2025-05-28
P-00866,U-004,Senior,Logistics,Systems,In Progress,59.1,Available,2025-05-30
P-00867,U-010,Lead,Medic,Planning,In Progress,75.4,Available,2020-04-22
P-00868,U-044,Lead,Logistics,Operations,Complete,94.5,Deployed,2026-01-19
P-00869,U-059,Junior,Logistics,Systems,In Progress,70.5,Training,2023-09-22
P-00870,U-026,Lead,Operator,Operations,Complete,93.1,Training,2018-08-06
P-00871,U-001,Lead,Operator,Operations,In Progress,86.7,Available,2020-08-21
P-00872,U-028,Officer,Analyst,Planning,In Progress,86.6,Deployed,2022-04-12
P-00873,U-028,Senior,Medic,Maintenance,In Progress,79.5,Available,2024-03-25
P-00874,U-025,Lead,Medic,Maintenance,Complete,92.9,Deployed,2025-07-07
P-00875,U-009,Junior,Operator,Maintenance,In Progress,61.0,Training,2023-06-17
P-00876,U-043,Senior,Operator,Maintenance,In Progress,74.7,Training,2022-08-31
P-00877,U-056,Officer,Logistics,Maintenance,In Progress,75.5,Deployed,2023-09-18
P-00878,U-028,Officer,Medic,Operations,In Progress,79.8,Available,2020-02-01
P-00879,U-028,Officer,Engineer,Operations,In Progress,82.2,Deployed,2024-02-16
P-00880,U-037,Junior,Logistics,Planning,In Progress,71.5,Training,2022-02-18
P-00881,U-008,Junior,Engineer,Operations,In Progress,81.1,Deployed,2023-10-19
P-00882,U-006,Junior,Engineer,Planning,In Progress,78.6,Training,2025-06-11
P-00883,U-043,Lead,Logistics,Systems,In Progress,58.5,Deployed,2024-01-01
P-00884,U-050,Officer,Logistics,Planning,In Progress,55.5,Training,2021-09-19
P-00885,U-027,Lead,Analyst,Maintenance,In Progress,70.9,Available,2025-10-17
P-00886,U-060,Lead,Logistics,Operations,In Progress,81.9,Available,2025-01-21
P-00887,U-031,Junior,Analyst,Systems,In Progress,81.0,Deployed,2023-06-09
P-00888,U-006,Junior,Analyst,Operations,In Progress,60.7,Available,2024-11-27
P-00889,U-018,Lead,Operator,Systems,In Progress,67.4,Training,2019-12-17
P-00890,U-059,Senior,Medic,Operations,In Progress,81.6,Available,2020-12-06
P-00891,U-051,Officer,Engineer,Systems,In Progress,86.5,Deployed,2018-12-12
P-00892,U-010,Senior,Medic,Planning,In Progress,81.8,Deployed,2020-09-01
P-00893,U-043,Senior,Engineer,Operations,In Progress,74.8,Available,2025-03-15
P-00894,U-017,Junior,Operator,Maintenance,In Progress,89.0,Deployed,2022-06-22
P-00895,U-031,Senior,Medic,Planning,In Progress,68.6,Deployed,2020-12-11
P-00896,U-010,Officer,Operator,Operations,In Progress,78.9,Deployed,2022-04-14
P-00897,U-044,Junior,Operator,Operations,In Progress,69.2,Deployed,2024-11-05
P-00898,U-059,Lead,Analyst,Operations,In Progress,84.3,Deployed,2019-02-07
P-00899,U-017,Officer,Medic,Maintenance,In Progress,84.4,Training,2025-07-15
P-00900,U-038,Lead,Engineer,Operations,In Progress,89.7,Training,2018-02-13
P-00901,U-044,Junior,Operator,Planning,In Progress,55.4,Available,2023-11-22
P-00902,U-007,Lead,Engineer,Operations,In Progress,85.8,Deployed,2020-03-01
P-00903,U-003,Junior,Operator,Maintenance,In Progress,56.1,Training,2025-02-26
P-00904,U-008,Junior,Operator,Maintenance,In Progress,86.9,Deployed,2025-05-12
P-00905,U-049,Senior,Operator,Maintenance,Complete,95.5,Deployed,2021-04-21
P-00906,U-030,Junior,Medic,Operations,In Progress,84.7,Deployed,2025-10-06
P-00907,U-058,Lead,Analyst,Maintenance,In Progress,85.0,Available,2021-02-09
P-00908,U-050,Officer,Analyst,Systems,In Progress,57.8,Deployed,2020-12-20
P-00909,U-012,Officer,Engineer,Planning,In Progress,74.8,Available,2025-03-28
P-00910,U-032,Officer,Engineer,Systems,In Progress,59.9,Deployed,2026-01-09
P-00911,U-017,Junior,Operator,Operations,In Progress,59.6,Deployed,2018-03-18
P-00912,U-058,Junior,Operator,Planning,In Progress,77.4,Deployed,2019-09-13
P-00913,U-045,Officer,Logistics,Systems,In Progress,69.8,Training,2025-12-08
P-00914,U-050,Officer,Medic,Systems,In Progress,77.1,Training,2020-07-14
P-00915,U-001,Officer,Operator,Operations,In Progress,72.3,Deployed,2025-08-24
P-00916,U-020,Junior,Analyst,Operations,In Progress,73.0,Available,2023-02-26
P-00917,U-049,Senior,Engineer,Systems,In Progress,89.5,Deployed,2025-05-30
P-00918,U-013,Officer,Operator,Operations,In Progress,68.4,Deployed,2018-12-14
P-00919,U-057,Senior,Engineer,Systems,In Progress,83.5,Available,2018-04-14
P-00920,U-047,Senior,Medic,Planning,Complete,99.8,Available,2024-01-24
P-00921,U-042,Officer,Operator,Systems,In Progress,68.8,Deployed,2018-08-18
P-00922,U-022,Junior,Medic,Systems,Complete,90.5,Available,2025-05-02
P-00923,U-043,Senior,Logistics,Maintenance,In Progress,78.5,Available,2018-06-01
P-00924,U-048,Junior,Medic,Systems,In Progress,61.4,Available,2025-11-12
P-00925,U-042,Senior,Operator,Operations,In Progress,60.9,Available,2023-02-12
P-00926,U-040,Junior,Operator,Systems,In Progress,62.7,Deployed,2024-09-03
P-00927,U-052,Junior,Engineer,Planning,In Progress,82.7,Deployed,2025-08-10
P-00928,U-026,Senior,Analyst,Maintenance,In Progress,69.6,Available,2024-08-26
P-00929,U-012,Junior,Analyst,Maintenance,In Progress,70.1,Deployed,2019-11-20
P-00930,U-045,Senior,Medic,Maintenance,In Progress,71.6,Training,2018-06-16
P-00931,U-009,Officer,Engineer,Systems,In Progress,59.5,Deployed,2018-11-27
P-00932,U-001,Junior,Logistics,Operations,In Progress,55.3,Deployed,2025-10-11
P-00933,U-052,Officer,Engineer,Maintenance,Complete,90.7,Available,2025-03-05
P-00934,U-018,Officer,Engineer,Maintenance,In Progress,78.5,Training,2025-10-04
P-00935,U-003,Officer,Logistics,Systems,In Progress,81.8,Training,2021-05-18
P-00936,U-023,Senior,Engineer,Systems,In Progress,73.8,Training,2019-01-27
P-00937,U-040,Senior,Medic,Maintenance,In Progress,71.3,Deployed,2018-08-06
P-00938,U-013,Senior,Medic,Planning,In Progress,60.1,Available,2019-10-17
P-00939,U-043,Junior,Analyst,Operations,Complete,96.5,Available,2022-11-16
P-00940,U-017,Officer,Operator,Systems,In Progress,70.0,Training,2018-08-03
P-00941,U-060,Senior,Operator,Planning,In Progress,79.2,Training,2019-04-21
P-00942,U-005,Officer,Logistics,Operations,Complete,95.3,Deployed,2020-03-25
P-00943,U-048,Lead,Engineer,Systems,In Progress,85.5,Deployed,2020-07-21
P-00944,U-007,Officer,Engineer,Planning,In Progress,65.7,Available,2018-10-29
P-00945,U-031,Junior,Medic,Maintenance,In Progress,81.3,Available,2024-11-01
P-00946,U-030,Lead,Engineer,Planning,In Progress,63.0,Training,2020-03-06
P-00947,U-041,Lead,Engineer,Operations,In Progress,71.1,Available,2018-05-12
P-00948,U-045,Lead,Engineer,Systems,In Progress,80.6,Deployed,2023-02-22
P-00949,U-027,Lead,Engineer,Operations,In Progress,62.7,Training,2019-10-05
P-00950,U-051,Senior,Logistics,Maintenance,Complete,90.8,Available,2022-08-14
P-00951,U-055,Senior,Logistics,Planning,In Progress,78.5,Deployed,2021-02-17
P-00952,U-001,Senior,Engineer,Operations,In Progress,87.9,Deployed,2024-07-01
P-00953,U-015,Senior,Logistics,Systems,Complete,95.1,Deployed,2018-07-01
P-00954,U-003,Junior,Medic,Planning,Complete,99.6,Deployed,2025-10-24
P-00955,U-053,Officer,Engineer,Systems,In Progress,59.4,Training,2018-02-20
P-00956,U-045,Senior,Engineer,Operations,In Progress,87.9,Deployed,2020-09-06
P-00957,U-042,Junior,Medic,Operations,Complete,100.0,Available,2025-11-20
P-00958,U-030,Junior,Medic,Planning,Complete,93.6,Available,2025-11-20
P-00959,U-026,Lead,Medic,Systems,In Progress,63.3,Training,2018-10-17
P-00960,U-025,Lead,Logistics,Systems,Complete,95.2,Deployed,2022-10-11
P-00961,U-049,Senior,Operator,Operations,In Progress,67.1,Training,2018-08-13
P-00962,U-033,Lead,Operator,Systems,Complete,97.5,Deployed,2022-02-06
P-00963,U-030,Lead,Analyst,Maintenance,In Progress,82.9,Training,2024-04-07
P-00964,U-046,Senior,Engineer,Operations,In Progress,58.0,Available,2024-01-20
P-00965,U-008,Senior,Engineer,Operations,In Progress,84.2,Deployed,2020-12-31
P-00966,U-033,Lead,Operator,Systems,In Progress,85.6,Deployed,2021-11-15
P-00967,U-029,Junior,Medic,Operations,In Progress,76.9,Deployed,2024-12-18
P-00968,U-024,Junior,Engineer,Planning,Complete,91.0,Available,2018-11-25
P-00969,U-026,Lead,Operator,Systems,Complete,95.4,Available,2021-02-04
P-00970,U-008,Officer,Engineer,Maintenance,In Progress,86.4,Training,2025-01-13
P-00971,U-002,Senior,Medic,Operations,In Progress,68.2,Deployed,2022-12-24
P-00972,U-048,Lead,Engineer,Systems,In Progress,84.0,Available,2020-08-09
P-00973,U-054,Lead,Medic,Operations,Complete,97.6,Training,2025-03-31
P-00974,U-051,Officer,Medic,Operations,In Progress,69.7,Training,2019-06-25
P-00975,U-058,Senior,Analyst,Maintenance,Complete,90.5,Deployed,2022-03-04
P-00976,U-019,Junior,Engineer,Operations,In Progress,89.6,Deployed,2023-02-11
P-00977,U-011,Senior,Logistics,Operations,In Progress,82.8,Available,2019-12-20
P-00978,U-054,Senior,Engineer,Maintenance,In Progress,86.9,Available,2018-06-18
P-00979,U-021,Officer,Analyst,Operations,In Progress,80.9,Available,2020-04-20
P-00980,U-036,Lead,Analyst,Maintenance,In Progress,86.8,Deployed,2023-01-11
P-00981,U-035,Lead,Operator,Systems,Complete,98.9,Deployed,2023-08-08
P-00982,U-050,Officer,Analyst,Maintenance,In Progress,61.5,Available,2024-02-16
P-00983,U-033,Lead,Medic,Operations,In Progress,69.9,Training,2025-06-24
P-00984,U-010,Officer,Analyst,Systems,Complete,91.0,Training,2023-05-16
P-00985,U-058,Junior,Analyst,Systems,In Progress,56.8,Deployed,2024-12-04
P-00986,U-054,Lead,Operator,Operations,In Progress,64.9,Available,2024-10-26
P-00987,U-042,Senior,Analyst,Maintenance,In Progress,63.8,Available,2018-12-09
P-00988,U-035,Junior,Logistics,Planning,Complete,93.2,Available,2023-07-02
P-00989,U-021,Junior,Analyst,Planning,In Progress,82.1,Available,2026-01-11
P-00990,U-055,Officer,Analyst,Systems,In Progress,74.2,Deployed,2021-11-13
P-00991,U-023,Officer,Logistics,Systems,In Progress,68.9,Available,2026-03-01
P-00992,U-057,Officer,Medic,Operations,In Progress,75.0,Available,2026-03-01
P-00993,U-058,Officer,Engineer,Systems,In Progress,74.1,Available,2020-05-01
P-00994,U-020,Lead,Operator,Planning,In Progress,76.4,Available,2018-01-28
P-00995,U-027,Lead,Medic,Maintenance,In Progress,83.7,Training,2023-03-08
P-00996,U-046,Senior,Engineer,Maintenance,In Progress,80.6,Deployed,2021-03-31
P-00997,U-036,Lead,Logistics,Operations,In Progress,77.1,Deployed,2024-04-09
P-00998,U-048,Junior,Operator,Maintenance,In Progress,75.9,Deployed,2021-05-14
P-00999,U-041,Officer,Operator,Operations,Complete,92.5,Deployed,2020-01-05
P-01000,U-032,Senior,Operator,Systems,Complete,95.8,Deployed,2023-07-13
P-01001,U-005,Lead,Logistics,Planning,In Progress,82.0,Training,2022-11-22
P-01002,U-056,Officer,Operator,Operations,In Progress,66.6,Training,2024-06-14
P-01003,U-002,Senior,Logistics,Systems,Complete,93.0,Available,2021-08-02
P-01004,U-030,Senior,Analyst,Maintenance,Complete,94.5,Available,2021-01-21
P-01005,U-024,Lead,Operator,Operations,In Progress,73.9,Deployed,2023-12-10
P-01006,U-041,Senior,Engineer,Systems,Complete,97.1,Training,2019-11-16
P-01007,U-035,Lead,Analyst,Operations,In Progress,69.5,Training,2025-10-29
P-01008,U-045,Lead,Engineer,Systems,In Progress,71.3,Available,2023-10-24
P-01009,U-019,Officer,Medic,Operations,In Progress,71.8,Available,2019-02-24
P-01010,U-014,Senior,Engineer,Systems,In Progress,62.0,Deployed,2023-03-02
P-01011,U-059,Senior,Operator,Planning,In Progress,58.4,Deployed,2021-06-30
P-01012,U-045,Officer,Logistics,Operations,In Progress,71.3,Available,2025-12-17
P-01013,U-020,Junior,Engineer,Maintenance,In Progress,56.3,Training,2019-08-07
P-01014,U-045,Senior,Engineer,Maintenance,In Progress,65.2,Available,2022-10-07
P-01015,U-045,Junior,Operator,Systems,In Progress,89.3,Deployed,2022-11-02
P-01016,U-003,Junior,Logistics,Systems,In Progress,63.8,Deployed,2019-05-03
P-01017,U-059,Junior,Analyst,Systems,In Progress,66.4,Available,2019-05-23
P-01018,U-059,Senior,Engineer,Operations,In Progress,82.1,Available,2019-01-07
P-01019,U-010,Lead,Logistics,Operations,Complete,93.1,Deployed,2019-10-20
P-01020,U-055,Senior,Logistics,Systems,In Progress,77.5,Available,2024-06-26
P-01021,U-049,Senior,Engineer,Operations,In Progress,55.6,Available,2024-01-10
P-01022,U-001,Junior,Engineer,Planning,Complete,98.8,Deployed,2025-10-30
P-01023,U-038,Junior,Engineer,Operations,In Progress,63.3,Deployed,2022-10-04
P-01024,U-014,Officer,Operator,Operations,In Progress,78.1,Available,2023-03-24
P-01025,U-008,Officer,Analyst,Operations,In Progress,78.4,Training,2026-02-05
P-01026,U-003,Officer,Operator,Planning,In Progress,58.7,Deployed,2023-02-15
P-01027,U-039,Officer,Engineer,Planning,In Progress,88.1,Deployed,2022-10-19
P-01028,U-013,Officer,Analyst,Maintenance,Complete,93.6,Available,2025-07-24
P-01029,U-032,Officer,Medic,Systems,In Progress,85.2,Available,2019-08-11
P-01030,U-026,Junior,Engineer,Systems,In Progress,73.0,Deployed,2020-03-26
P-01031,U-022,Officer,Operator,Maintenance,In Progress,64.0,Deployed,2026-02-18
P-01032,U-032,Lead,Medic,Operations,In Progress,67.5,Deployed,2025-06-23
P-01033,U-039,Officer,Logistics,Operations,Complete,97.8,Available,2023-02-06
P-01034,U-007,Officer,Medic,Maintenance,In Progress,60.5,Training,2019-07-06
P-01035,U-002,Junior,Operator,Planning,In Progress,59.5,Training,2018-04-20
P-01036,U-012,Lead,Engineer,Operations,In Progress,72.2,Training,2024-12-27
P-01037,U-007,Officer,Medic,Maintenance,In Progress,89.2,Deployed,2025-06-04
P-01038,U-032,Lead,Logistics,Operations,In Progress,77.1,Training,2024-02-17
P-01039,U-002,Junior,Medic,Systems,Complete,97.9,Deployed,2023-01-18
P-01040,U-021,Officer,Medic,Systems,Complete,93.4,Available,2019-12-26
P-01041,U-036,Lead,Engineer,Planning,In Progress,84.7,Deployed,2019-07-05
P-01042,U-020,Officer,Operator,Planning,In Progress,87.2,Training,2024-03-18
P-01043,U-044,Officer,Medic,Maintenance,In Progress,79.3,Training,2018-08-17
P-01044,U-026,Officer,Logistics,Operations,In Progress,66.9,Deployed,2021-08-05
P-01045,U-004,Junior,Engineer,Operations,In Progress,56.3,Deployed,2024-07-19
P-01046,U-002,Lead,Medic,Systems,In Progress,89.4,Deployed,2021-11-14
P-01047,U-023,Junior,Engineer,Maintenance,In Progress,73.5,Available,2025-04-08
P-01048,U-020,Junior,Analyst,Systems,In Progress,81.7,Deployed,2019-11-27
P-01049,U-002,Junior,Medic,Planning,In Progress,79.2,Training,2023-10-10
P-01050,U-058,Junior,Medic,Systems,In Progress,74.0,Deployed,2022-03-28
P-01051,U-037,Junior,Medic,Systems,In Progress,72.6,Training,2025-07-28
P-01052,U-014,Lead,Engineer,Operations,In Progress,70.1,Deployed,2022-11-21
P-01053,U-013,Junior,Logistics,Maintenance,In Progress,77.4,Deployed,2020-12-22
P-01054,U-004,Officer,Engineer,Systems,In Progress,68.4,Training,2024-06-26
P-01055,U-007,Lead,Operator,Planning,In Progress,81.6,Deployed,2020-05-09
P-01056,U-023,Lead,Logistics,Operations,Complete,90.8,Deployed,2025-06-10
P-01057,U-035,Officer,Medic,Operations,In Progress,69.1,Training,2023-10-12
P-01058,U-030,Senior,Operator,Maintenance,In Progress,85.2,Training,2023-08-07
P-01059,U-014,Officer,Analyst,Planning,In Progress,84.7,Training,2026-02-24
P-01060,U-041,Senior,Analyst,Planning,In Progress,57.7,Available,2020-09-11
P-01061,U-010,Lead,Medic,Planning,In Progress,88.6,Deployed,2018-09-21
P-01062,U-041,Officer,Analyst,Operations,In Progress,64.2,Training,2019-10-20
P-01063,U-017,Senior,Medic,Maintenance,In Progress,85.9,Available,2019-09-07
P-01064,U-013,Lead,Medic,Planning,In Progress,56.2,Training,2022-11-22
P-01065,U-028,Junior,Engineer,Maintenance,In Progress,84.1,Deployed,2019-07-13
P-01066,U-002,Lead,Logistics,Maintenance,In Progress,66.6,Training,2018-06-22
P-01067,U-047,Junior,Operator,Systems,In Progress,76.9,Deployed,2024-09-30
P-01068,U-020,Officer,Analyst,Systems,Complete,94.0,Deployed,2026-02-14
P-01069,U-054,Junior,Logistics,Systems,In Progress,61.3,Training,2025-06-13
P-01070,U-054,Lead,Medic,Systems,In Progress,81.1,Available,2024-09-22
P-01071,U-008,Lead,Analyst,Planning,In Progress,89.8,Training,2020-08-24
P-01072,U-060,Senior,Operator,Maintenance,In Progress,74.0,Available,2021-01-29
P-01073,U-029,Junior,Medic,Operations,In Progress,73.4,Training,2019-04-08
P-01074,U-021,Officer,Engineer,Operations,In Progress,79.6,Available,2022-01-26
P-01075,U-031,Lead,Operator,Systems,In Progress,87.2,Training,2025-06-05
P-01076,U-052,Senior,Analyst,Planning,Complete,97.3,Deployed,2025-03-02
P-01077,U-045,Junior,Logistics,Maintenance,In Progress,71.3,Deployed,2022-05-11
P-01078,U-001,Officer,Analyst,Operations,Complete,95.9,Available,2020-08-22
P-01079,U-020,Senior,Medic,Operations,In Progress,64.5,Training,2022-07-23
P-01080,U-051,Junior,Medic,Planning,In Progress,56.5,Training,2022-08-19
P-01081,U-060,Officer,Operator,Maintenance,Complete,92.9,Training,2020-12-04
P-01082,U-033,Officer,Logistics,Operations,In Progress,58.0,Deployed,2025-10-18
P-01083,U-002,Senior,Medic,Maintenance,In Progress,89.3,Available,2022-06-30
P-01084,U-013,Lead,Logistics,Systems,In Progress,83.3,Available,2019-10-09
P-01085,U-016,Senior,Logistics,Planning,In Progress,78.2,Deployed,2023-01-24
P-01086,U-031,Senior,Analyst,Maintenance,Complete,94.3,Training,2024-08-26
P-01087,U-053,Lead,Engineer,Systems,In Progress,69.7,Deployed,2022-02-14
P-01088,U-012,Officer,Logistics,Maintenance,In Progress,72.7,Available,2018-04-05
P-01089,U-060,Senior,Operator,Planning,In Progress,80.1,Available,2020-12-08
P-01090,U-045,Junior,Medic,Planning,Complete,93.3,Training,2020-12-01
P-01091,U-010,Lead,Engineer,Systems,In Progress,59.0,Available,2026-01-22
P-01092,U-034,Officer,Medic,Systems,In Progress,74.6,Available,2026-01-01
P-01093,U-014,Lead,Analyst,Planning,In Progress,63.6,Deployed,2019-06-18
P-01094,U-028,Senior,Analyst,Maintenance,Complete,93.5,Deployed,2020-01-09
P-01095,U-027,Junior,Analyst,Operations,Complete,90.7,Available,2024-12-05
P-01096,U-029,Lead,Logistics,Planning,Complete,95.8,Available,2018-02-12
P-01097,U-031,Lead,Medic,Maintenance,In Progress,61.0,Training,2022-04-20
P-01098,U-046,Lead,Operator,Systems,In Progress,74.0,Training,2018-08-29
P-01099,U-004,Senior,Medic,Operations,In Progress,70.0,Training,2025-07-10
P-01100,U-052,Junior,Operator,Operations,In Progress,81.9,Training,2024-12-13
P-01101,U-025,Officer,Analyst,Maintenance,In Progress,68.6,Training,2018-06-18
P-01102,U-038,Senior,Logistics,Planning,In Progress,63.1,Deployed,2023-04-02
P-01103,U-009,Officer,Engineer,Operations,In Progress,59.0,Available,2021-07-07
P-01104,U-003,Officer,Analyst,Operations,Complete,99.0,Deployed,2021-03-04
P-01105,U-058,Lead,Logistics,Operations,Complete,94.5,Deployed,2019-11-07
P-01106,U-021,Officer,Engineer,Planning,In Progress,88.2,Available,2020-02-13
P-01107,U-010,Senior,Operator,Planning,In Progress,57.5,Deployed,2019-11-01
P-01108,U-046,Junior,Medic,Systems,In Progress,76.0,Deployed,2021-12-31
P-01109,U-046,Officer,Medic,Systems,In Progress,80.2,Training,2019-08-30
P-01110,U-008,Senior,Analyst,Maintenance,In Progress,70.7,Available,2023-09-15
P-01111,U-053,Senior,Logistics,Systems,In Progress,67.3,Training,2024-05-26
P-01112,U-012,Junior,Engineer,Planning,In Progress,73.7,Training,2019-01-22
P-01113,U-057,Lead,Operator,Planning,In Progress,69.8,Deployed,2024-08-15
P-01114,U-060,Lead,Engineer,Systems,Complete,97.8,Available,2023-03-01
P-01115,U-054,Officer,Medic,Operations,In Progress,86.8,Training,2025-05-19
P-01116,U-001,Junior,Logistics,Planning,In Progress,69.8,Deployed,2026-03-16
P-01117,U-047,Senior,Engineer,Systems,Complete,95.8,Training,2021-03-04
P-01118,U-021,Junior,Logistics,Planning,Complete,90.9,Available,2022-06-22
P-01119,U-017,Officer,Operator,Systems,In Progress,63.0,Available,2019-10-30
P-01120,U-025,Lead,Engineer,Systems,Complete,90.1,Deployed,2023-07-04
P-01121,U-052,Lead,Logistics,Maintenance,In Progress,74.5,Deployed,2025-06-18
P-01122,U-007,Senior,Medic,Planning,Complete,92.4,Deployed,2023-05-06
P-01123,U-018,Officer,Operator,Planning,In Progress,80.3,Deployed,2024-11-19
P-01124,U-012,Officer,Operator,Systems,In Progress,74.5,Training,2021-10-31
P-01125,U-030,Senior,Medic,Systems,In Progress,85.4,Deployed,2023-04-02
P-01126,U-028,Officer,Analyst,Maintenance,In Progress,58.6,Available,2025-09-03
P-01127,U-058,Senior,Logistics,Planning,In Progress,68.5,Deployed,2024-05-17
P-01128,U-004,Junior,Logistics,Systems,In Progress,79.8,Training,2022-10-07
P-01129,U-027,Lead,Analyst,Operations,In Progress,59.3,Training,2018-12-01
P-01130,U-050,Junior,Medic,Maintenance,In Progress,77.7,Available,2022-05-29
P-01131,U-003,Lead,Analyst,Planning,In Progress,58.7,Training,2023-01-17
P-01132,U-040,Lead,Engineer,Maintenance,Complete,91.4,Available,2018-11-17
P-01133,U-048,Lead,Operator,Planning,Complete,99.2,Training,2018-03-15
P-01134,U-001,Junior,Engineer,Planning,In Progress,72.8,Deployed,2025-10-04
P-01135,U-026,Officer,Analyst,Operations,Complete,94.1,Training,2025-07-22
P-01136,U-045,Lead,Operator,Maintenance,In Progress,85.4,Available,2018-02-26
