training_id,unit_id,personnel_id,training_type,training_date,completion_status,score,certification_status
T-00368,U-023,P-00458,Advanced,2025-06-27,Incomplete,65.0,Pending
T-00369,U-041,P-01418,Safety,2025-01-20,Completed,99.0,Certified
T-00370,U-041,P-01060,Advanced,2026-03-08,Incomplete,58.4,Pending
T-00371,U-007,P-01611,Advanced,2026-01-18,Incomplete,68.8,Pending
T-00372,U-030,P-02994,Safety,2025-11-19,Completed,89.2,Certified
T-00373,U-005,P-01515,Leadership,2025-08-26,Completed,98.5,Certified
T-00374,U-024,P-00402,Advanced,2026-03-11,Incomplete,67.9,Pending
T-00375,U-025,P-01729,Safety,2026-05-19,Incomplete,63.0,Pending
T-00376,U-028,P-01796,Advanced,2026-07-23,Completed,74.3,Pending
T-00377,U-024,P-00624,Core,2026-05-08,Completed,91.2,Certified
T-00378,U-053,P-00288,Advanced,2025-09-19,Incomplete,57.7,Pending
T-00379,U-033,P-01295,Leadership,2025-10-07,Completed,78.7,Pending
T-00380,U-020,P-00464,Advanced,2026-02-03,Completed,83.3,Certified
T-00381,U-043,P-02510,Advanced,2025-08-18,Completed,76.5,Pending
T-00382,U-018,P-02511,Advanced,2026-06-02,Completed,89.5,Certified
T-00383,U-050,P-00802,Leadership,2026-03-16,Completed,87.6,Certified
T-00384,U-058,P-02269,Leadership,2026-06-19,Completed,78.1,Pending
T-00385,U-021,P-02380,Advanced,2025-12-20,Completed,90.6,Certified
T-00386,U-046,P-02101,Leadership,2025-08-04,Incomplete,60.5,Pending
T-00387,U-028,P-02283,Leadership,2026-07-06,Completed,94.2,Certified
T-00388,U-033,P-00420,Leadership,2025-12-23,Completed,96.0,Certified
T-00389,U-050,P-00740,Advanced,2025-12-07,Completed,88.4,Certified
T-00390,U-056,P-00153,Advanced,2026-05-07,Completed,77.1,Pending
T-00391,U-048,P-02226,Advanced,2026-01-04,Completed,98.9,Certified
T-00392,U-043,P-00546,Core,2026-01-21,Incomplete,60.1,Pending
T-00393,U-009,P-02116,Leadership,2025-02-01,Incomplete,66.5,Pending
T-00394,U-030,P-02732,Advanced,2025-10-24,Incomplete,63.9,Pending
T-00395,U-045,P-00723,Safety,2025-02-28,Completed,81.7,Certified
T-00396,U-059,P-02217,Advanced,2025-06-07,Completed,72.8,Pending
T-00397,U-034,P-01673,Leadership,2025-07-09,Completed,84.8,Certified
T-00398,U-006,P-02190,Core,2026-04-06,Incomplete,59.0,Pending
T-00399,U-043,P-01656,Leadership,2026-07-06,Completed,74.8,Pending
T-00400,U-050,P-01693,Advanced,2026-05-09,Completed,98.3,Certified
T-00401,U-010,P-00309,Core,2025-02-16,Completed,79.0,Pending
T-00402,U-034,P-01470,Leadership,2025-09-29,Completed,84.3,Certified
T-00403,U-008,P-01763,Advanced,2025-08-11,Completed,77.6,Pending
T-00404,U-009,P-00136,Leadership,2025-10-15,Completed,71.3,Pending
T-00405,U-031,P-00176,Advanced,2025-09-20,Completed,85.1,Certified
T-00406,U-013,P-00575,Core,2025-08-30,Completed,72.5,Pending
T-00407,U-055,P-00990,Leadership,2026-05-26,Incomplete,61.8,Pending
T-00408,U-032,P-00770,Core,2026-06-25,Completed,72.5,Pending
T-00409,U-005,P-02198,Core,2026-07-04,Incomplete,67.3,Pending
T-00410,U-013,P-01675,Core,2025-08-05,Completed,88.9,Certified
T-00411,U-012,P-00579,Core,2026-02-14,Completed,81.1,Certified
T-00412,U-019,P-00976,Leadership,2025-07-06,Completed,97.5,Certified
T-00413,U-013,P-01084,Advanced,2026-07-18,Completed,76.0,Pending
T-00414,U-034,P-01427,Advanced,2026-02-11,Completed,76.4,Pending
T-00415,U-051,P-02706,Safety,2025-02-05,Completed,86.5,Certified
T-00416,U-050,P-00047,Safety,2025-08-21,Completed,75.9,Pending
T-00417,U-052,P-02082,Safety,2026-06-22,Completed,84.2,Certified
T-00418,U-058,P-00034,Leadership,2026-03-21,Incomplete,56.2,Pending
T-00419,U-059,P-02813,Advanced,2025-10-02,Completed,97.0,Certified
T-00420,U-028,P-02642,Safety,2025-01-17,Completed,90.9,Certified
T-00421,U-055,P-01339,Safety,2025-01-30,Incomplete,57.9,Pending
T-00422,U-040,P-01272,Leadership,2025-08-17,Completed,77.6,Pending
T-00423,U-042,P-01413,Leadership,2026-01-19,Completed,87.4,Certified
T-00424,U-025,P-01120,Safety,2025-11-26,Incomplete,65.2,Pending
T-00425,U-033,P-00962,Safety,2026-08-02,Completed,99.6,Certified
T-00426,U-034,P-01605,Core,2026-05-15,Incomplete,59.5,Pending
T-00427,U-011,P-02046,Leadership,2026-04-13,Completed,87.5,Certified
T-00428,U-059,P-00584,Advanced,2026-03-16,Incomplete,61.7,Pending
T-00429,U-016,P-01260,Leadership,2025-03-28,Completed,94.2,Certified
T-00430,U-024,P-01327,Advanced,2025-02-04,Completed,97.0,Certified
T-00431,U-002,P-00043,Core,2025-05-20,Incomplete,61.6,Pending
T-00432,U-056,P-01886,Core,2026-05-03,Completed,89.9,Certified
T-00433,U-004,P-01719,Leadership,2026-03-24,Completed,91.2,Certified
T-00434,U-005,P-02842,Core,2025-11-23,Completed,80.3,Certified
T-00435,U-007,P-00444,Advanced,2026-07-22,Incomplete,66.3,Pending
T-00436,U-006,P-01546,Core,2025-04-30,Completed,84.2,Certified
T-00437,U-041,P-01782,Core,2025-06-08,Completed,78.2,Pending
T-00438,U-002,P-00154,Core,2025-02-25,Completed,77.4,Pending
T-00439,U-040,P-00104,Core,2025-12-23,Completed,73.1,Pending
T-00440,U-008,P-01499,Safety,2026-08-06,Completed,78.8,Pending
T-00441,U-059,P-00898,Advanced,2025-05-28,Completed,94.0,Certified
T-00442,U-014,P-01059,Safety,2026-03-23,Incomplete,66.5,Pending
T-00443,U-026,P-01388,Advanced,2025-05-11,Incomplete,63.2,Pending
T-00444,U-026,P-00393,Safety,2025-10-14,Incomplete,68.7,Pending
T-00445,U-036,P-00344,Safety,2025-03-29,Incomplete,63.5,Pending
T-00446,U-038,P-01832,Advanced,2025-08-02,Completed,73.1,Pending
T-00447,U-039,P-00213,Core,2025-11-21,Incomplete,65.7,Pending
T-00448,U-037,P-01778,Core,2026-05-09,Completed,81.3,Certified
T-00449,U-042,P-00055,Leadership,2026-01-14,Completed,70.7,Pending
T-00450,U-032,P-02902,Leadership,2025-08-02,Incomplete,57.9,Pending
T-00451,U-057,P-01685,Core,2025-05-24,Completed,95.7,Certified
T-00452,U-058,P-02126,Safety,2025-02-12,Completed,93.3,Certified
T-00453,U-039,P-02888,Core,2025-03-07,Completed,91.3,Certified
T-00454,U-036,P-01858,Core,2026-01-20,Completed,92.2,Certified
T-00455,U-060,P-02368,Advanced,2026-06-28,Completed,90.8,Certified
T-00456,U-001,P-00596,Safety,2025-05-16,Incomplete,58.1,Pending
T-00457,U-021,P-02234,Leadership,2025-05-19,Completed,74.8,Pending
T-00458,U-021,P-02070,Advanced,2025-01-08,Completed,80.9,Certified
T-00459,U-051,P-02629,Safety,2025-02-27,Incomplete,63.4,Pending
T-00460,U-042,P-01478,Safety,2025-02-18,Incomplete,61.5,Pending
T-00461,U-039,P-01313,Core,2026-07-28,Completed,72.2,Pending
T-00462,U-014,P-00778,Core,2025-06-03,Completed,88.5,Certified
T-00463,U-054,P-02674,Safety,2026-07-14,Completed,73.4,Pending
T-00464,U-009,P-01450,Leadership,2025-11-30,Completed,88.5,Certified
T-00465,U-051,P-01080,Core,2026-07-16,Completed,82.6,Certified
T-00466,U-060,P-01114,Core,2025-09-05,Incomplete,67.3,Pending
T-00467,U-053,P-02227,Leadership,2025-12-28,Completed,97.5,Certified
T-00468,U-008,P-01261,Advanced,2026-05-27,Completed,75.7,Pending
T-00469,U-060,P-02628,Core,2026-01-17,Completed,93.0,Certified
T-00470,U-002,P-01039,Safety,2026-06-27,Completed,78.0,Pending
T-00471,U-057,P-01934,Leadership,2026-01-25,Incomplete,56.7,Pending
T-00472,U-058,P-00628,Core,2026-01-16,Incomplete,65.1,Pending
T-00473,U-008,P-01608,Safety,2025-10-06,Completed,99.8,Certified
T-00474,U-041,P-02565,Core,2026-01-05,Completed,72.6,Pending
T-00475,U-012,P-00044,Advanced,2025-08-15,Completed,93.7,Certified
T-00476,U-046,P-01371,Leadership,2026-01-19,Incomplete,57.4,Pending
T-00477,U-003,P-01541,Core,2026-01-04,Completed,74.5,Pending
T-00478,U-005,P-00120,Core,2026-06-08,Completed,99.3,Certified
T-00479,U-042,P-01478,Leadership,2026-03-15,Completed,84.0,Certified
T-00480,U-054,P-01351,Advanced,2026-05-03,Completed,76.8,Pending
T-00481,U-021,P-02347,Advanced,2025-04-09,Completed,86.5,Certified
T-00482,U-014,P-02466,Safety,2025-08-20,Incomplete,68.9,Pending
T-00483,U-025,P-01891,Core,2025-07-15,Incomplete,61.8,Pending
T-00484,U-038,P-01334,Core,2026-08-04,Completed,94.1,Certified
T-00485,U-037,P-02998,Leadership,2025-01-19,Completed,96.8,Certified
T-00486,U-037,P-02427,Advanced,2026-04-12,Incomplete,60.6,Pending
T-00487,U-003,P-01731,Safety,2026-05-25,Completed,95.8,Certified
T-00488,U-009,P-00292,Safety,2025-07-11,Completed,95.9,Certified
T-00489,U-032,P-01029,Advanced,2025-06-22,Completed,85.4,Certified
T-00490,U-025,P-00331,Core,2025-05-14,Incomplete,59.5,Pending
T-00491,U-026,P-01790,Advanced,2025-08-29,Completed,84.2,Certified
T-00492,U-032,P-01987,Core,2025-08-13,Completed,75.3,Pending
T-00493,U-001,P-01022,Advanced,2025-04-11,Incomplete,55.3,Pending
T-00494,U-001,P-01078,Advanced,2025-09-13,Completed,71.6,Pending
T-00495,U-026,P-02011,Core,2025-08-01,Completed,79.0,Pending
T-00496,U-006,P-01265,Advanced,2025-07-05,Completed,72.4,Pending
T-00497,U-038,P-02110,Advanced,2026-01-09,Completed,74.9,Pending
T-00498,U-027,P-01708,Leadership,2026-02-28,Incomplete,69.4,Pending
T-00499,U-033,P-02177,Safety,2026-07-22,Incomplete,56.5,Pending
T-00500,U-048,P-00167,Safety,2026-07-24,Incomplete,56.4,Pending
T-00501,U-018,P-02359,Advanced,2026-07-12,Completed,84.6,Certified
T-00502,U-041,P-00475,Safety,2025-02-24,Incomplete,69.7,Pending
T-00503,U-032,P-00380,Safety,2025-08-15,Completed,93.4,Certified
T-00504,U-054,P-02805,Safety,2026-04-10,Completed,79.5,Pending
T-00505,U-044,P-02214,Core,2026-05-08,Incomplete,59.8,Pending
T-00506,U-038,P-01860,Safety,2025-04-20,Completed,82.9,Certified
T-00507,U-060,P-01156,Core,2025-12-22,Completed,94.6,Certified
T-00508,U-056,P-02744,Core,2025-10-30,Completed,89.1,Certified
T-00509,U-053,P-01111,Core,2025-12-16,Completed,74.2,Pending
T-00510,U-002,P-01035,Core,2025-02-06,Incomplete,60.0,Pending
T-00511,U-053,P-00016,Leadership,2026-01-08,Completed,94.0,Certified
T-00512,U-035,P-01700,Leadership,2026-02-05,Completed,93.0,Certified
T-00513,U-033,P-01754,Safety,2025-10-25,Completed,79.1,Pending
T-00514,U-049,P-01285,Advanced,2026-02-13,Completed,85.0,Certified
T-00515,U-044,P-00901,Leadership,2026-03-12,Completed,77.4,Pending
T-00516,U-014,P-01776,Safety,2025-02-16,Completed,71.2,Pending
T-00517,U-012,P-00691,Safety,2025-10-16,Completed,84.8,Certified
T-00518,U-008,P-00544,Core,2026-03-15,Incomplete,65.5,Pending
T-00519,U-042,P-00742,Leadership,2025-10-03,Incomplete,63.3,Pending
T-00520,U-002,P-02091,Core,2026-06-24,Completed,93.1,Certified
T-00521,U-060,P-02655,Safety,2026-01-30,Completed,72.6,Pending
T-00522,U-025,P-00657,Advanced,2026-02-18,Completed,79.7,Pending
T-00523,U-043,P-00893,Core,2026-01-19,Completed,87.1,Certified
T-00524,U-048,P-00847,Safety,2025-03-26,Incomplete,64.0,Pending
T-00525,U-029,P-02581,Advanced,2025-12-20,Incomplete,64.0,Pending
T-00526,U-038,P-01766,Core,2026-03-31,Incomplete,60.1,Pending
T-00527,U-023,P-00020,Safety,2026-05-02,Incomplete,62.4,Pending
T-00528,U-026,P-00769,Leadership,2025-07-16,Incomplete,68.4,Pending
T-00529,U-024,P-01826,Advanced,2025-08-21,Incomplete,62.7,Pending
T-00530,U-016,P-02542,Core,2026-05-10,Completed,95.0,Certified
T-00531,U-053,P-01558,Leadership,2026-07-25,Incomplete,58.4,Pending
T-00532,U-028,P-00658,Safety,2026-06-19,Completed,94.7,Certified
T-00533,U-034,P-02238,Safety,2025-07-21,Completed,70.4,Pending
T-00534,U-058,P-00493,Safety,2026-05-23,Incomplete,64.7,Pending
T-00535,U-043,P-01247,Leadership,2025-11-11,Incomplete,55.7,Pending
T-00536,U-057,P-01831,Leadership,2025-07-19,Incomplete,67.3,Pending
T-00537,U-057,P-02499,Leadership,2025-04-17,Completed,76.5,Pending
T-00538,U-059,P-01996,Safety,2026-03-26,Completed,70.6,Pending
T-00539,U-032,P-01987,Core,2026-01-30,Completed,81.5,Certified
T-00540,U-033,P-00511,Advanced,2025-10-24,Completed,77.8,Pending
T-00541,U-052,P-01076,Core,2025-03-30,Incomplete,61.7,Pending
T-00542,U-006,P-02073,Safety,2025-09-24,Incomplete,56.7,Pending
T-00543,U-002,P-01368,Advanced,2025-10-24,Incomplete,69.1,Pending
T-00544,U-017,P-00428,Advanced,2026-06-11,Completed,71.6,Pending
T-00545,U-033,P-01770,Safety,2025-01-07,Incomplete,65.7,Pending
T-00546,U-019,P-00274,Core,2026-04-08,Completed,98.3,Certified
T-00547,U-019,P-00197,Leadership,2025-09-15,Completed,95.1,Certified
T-00548,U-049,P-02486,Safety,2025-11-10,Completed,96.0,Certified
T-00549,U-004,P-01333,Advanced,2026-05-20,Incomplete,64.6,Pending
T-00550,U-039,P-02823,Advanced,2025-01-21,Completed,98.2,Certified
T-00551,U-030,P-00395,Leadership,2025-04-08,Completed,91.9,Certified
T-00552,U-003,P-01131,Core,2026-01-24,Completed,74.6,Pending
T-00553,U-027,P-02806,Core,2025-12-26,Completed,97.5,Certified
T-00554,U-019,P-01942,Leadership,2026-03-12,Incomplete,65.3,Pending
T-00555,U-004,P-02121,Core,2025-07-26,Incomplete,67.2,Pending
T-00556,U-027,P-01095,Leadership,2026-06-03,Incomplete,58.2,Pending
T-00557,U-043,P-00282,Core,2026-05-14,Incomplete,55.7,Pending
T-00558,U-032,P-00456,Leadership,2025-04-15,Completed,80.8,Certified
T-00559,U-013,P-02692,Safety,2025-04-15,Completed,98.1,Certified
T-00560,U-017,P-01277,Core,2025-10-14,Completed,81.2,Certified
T-00561,U-005,P-02386,Safety,2025-12-01,Completed,93.6,Certified
T-00562,U-009,P-02180,Leadership,2025-08-06,Completed,89.9,Certified
T-00563,U-046,P-01572,Leadership,2025-06-29,Completed,79.7,Pending
T-00564,U-045,P-02437,Core,2026-06-14,Completed,72.7,Pending
T-00565,U-003,P-00204,Advanced,2026-06-17,Completed,79.1,Pending
T-00566,U-040,P-02125,Leadership,2026-07-08,Completed,94.8,Certified
T-00567,U-015,P-01274,Leadership,2025-06-23,Completed,78.8,Pending
T-00568,U-056,P-00801,Core,2025-02-02,Completed,84.3,Certified
T-00569,U-051,P-01867,Safety,2026-01-30,Completed,96.8,Certified
T-00570,U-027,P-01129,Core,2025-08-30,Incomplete,66.3,Pending
T-00571,U-060,P-00090,Leadership,2025-01-03,Completed,84.8,Certified
T-00572,U-060,P-01072,Core,2025-02-18,Completed,71.1,Pending
T-00573,U-038,P-02096,Leadership,2025-08-25,Incomplete,58.8,Pending
T-00574,U-005,P-00865,Advanced,2026-05-20,Incomplete,57.4,Pending
T-00575,U-045,P-02614,Advanced,2025-05-23,Completed,92.1,Certified
T-00576,U-022,P-01872,Advanced,2026-05-24,Incomplete,63.3,Pending
T-00577,U-032,P-00910,Safety,2025-03-02,Completed,92.5,Certified
T-00578,U-029,P-01073,Advanced,2026-01-31,Completed,92.4,Certified
T-00579,U-020,P-00184,Core,2025-09-24,Incomplete,69.9,Pending
T-00580,U-018,P-01902,Advanced,2025-12-02,Incomplete,65.5,Pending
T-00581,U-043,P-00577,Safety,2025-09-24,Incomplete,62.4,Pending
T-00582,U-054,P-02416,Safety,2025-08-03,Incomplete,64.3,Pending
T-00583,U-043,P-02308,Advanced,2025-11-09,Completed,76.1,Pending
T-00584,U-024,P-01513,Safety,2026-03-21,Incomplete,59.3,Pending
T-00585,U-008,P-01213,Core,2026-01-24,Incomplete,61.5,Pending
T-00586,U-052,P-00254,Leadership,2025-06-10,Completed,87.2,Certified
T-00587,U-039,P-01914,Core,2025-11-18,Incomplete,66.5,Pending
T-00588,U-022,P-00368,Advanced,2025-04-28,Incomplete,66.6,Pending
T-00589,U-060,P-01585,Core,2025-04-02,Incomplete,68.1,Pending
T-00590,U-057,P-02873,Safety,2026-03-06,Incomplete,64.0,Pending
T-00591,U-040,P-01272,Advanced,2026-01-05,Completed,87.3,Certified
T-00592,U-029,P-01182,Advanced,2026-03-15,Completed,94.8,Certified
T-00593,U-048,P-00167,Advanced,2026-07-07,Incomplete,56.9,Pending
T-00594,U-035,P-02646,Advanced,2025-06-21,Completed,80.9,Certified
T-00595,U-060,P-00776,Advanced,2026-01-04,Completed,78.4,Pending
T-00596,U-026,P-01895,Advanced,2026-07-05,Completed,82.4,Certified
T-00597,U-032,P-02648,Safety,2026-01-12,Completed,81.9,Certified
T-00598,U-037,P-02304,Advanced,2025-11-30,Completed,80.4,Certified
T-00599,U-004,P-00262,Safety,2026-05-13,Completed,83.8,Certified
T-00600,U-042,P-01320,Safety,2026-04-01,Incomplete,62.9,Pending
T-00601,U-045,P-01878,Safety,2025-11-19,Completed,71.0,Pending
T-00602,U-035,P-00419,Safety,2026-03-23,Incomplete,62.3,Pending
T-00603,U-037,P-00827,Leadership,2026-05-18,Completed,79.1,Pending
T-00604,U-054,P-01671,Leadership,2025-03-01,Completed,74.1,Pending
T-00605,U-027,P-00861,Core,2025-03-22,Incomplete,58.6,Pending
T-00606,U-034,P-00687,Core,2025-09-09,Incomplete,60.7,Pending
T-00607,U-047,P-00920,Leadership,2025-12-31,Completed,84.0,Certified
T-00608,U-005,P-00862,Safety,2025-07-02,Completed,83.8,Certified
T-00609,U-039,P-00302,Advanced,2025-12-10,Incomplete,68.6,Pending
T-00610,U-029,P-01182,Safety,2026-04-10,Completed,85.4,Certified
T-00611,U-029,P-01182,Advanced,2026-03-12,Completed,80.4,Certified
T-00612,U-015,P-02132,Advanced,2026-01-06,Completed,98.7,Certified
T-00613,U-010,P-00618,Safety,2025-08-09,Completed,71.7,Pending
T-00614,U-056,P-00148,Advanced,2025-12-16,Completed,83.0,Certified
T-00615,U-042,P-02824,Safety,2025-06-27,Incomplete,66.2,Pending
T-00616,U-034,P-00263,Leadership,2025-07-20,Completed,70.8,Pending
T-00617,U-017,P-02787,Leadership,2026-03-07,Completed,99.3,Certified
T-00618,U-030,P-00088,Leadership,2026-06-30,Completed,97.3,Certified
T-00619,U-030,P-02965,Advanced,2025-09-19,Completed,80.8,Certified
T-00620,U-041,P-01927,Safety,2026-05-03,Incomplete,59.6,Pending
T-00621,U-044,P-01315,Core,2025-01-18,Completed,73.7,Pending
T-00622,U-046,P-02235,Core,2025-02-09,Incomplete,57.1,Pending
T-00623,U-025,P-00874,Advanced,2025-07-03,Completed,91.9,Certified
T-00624,U-041,P-00421,Advanced,2025-12-13,Completed,87.2,Certified
T-00625,U-059,P-01489,Core,2026-03-04,Incomplete,59.8,Pending
T-00626,U-055,P-02443,Advanced,2025-07-15,Completed,78.0,Pending
T-00627,U-058,P-00628,Safety,2025-04-12,Completed,80.0,Certified
T-00628,U-029,P-01073,Advanced,2026-02-24,Completed,98.9,Certified
T-00629,U-031,P-00945,Leadership,2025-05-11,Completed,83.3,Certified
T-00630,U-038,P-00467,Safety,2025-07-27,Incomplete,68.3,Pending
T-00631,U-022,P-01945,Core,2025-10-01,Incomplete,59.8,Pending
T-00632,U-001,P-01319,Leadership,2026-05-16,Incomplete,60.6,Pending
T-00633,U-053,P-02227,Leadership,2026-07-18,Completed,93.8,Certified
T-00634,U-017,P-02049,Core,2025-05-08,Completed,91.4,Certified
T-00635,U-013,P-02617,Core,2025-08-02,Completed,70.9,Pending
T-00636,U-016,P-00732,Safety,2025-07-10,Completed,74.0,Pending
T-00637,U-050,P-00802,Leadership,2025-07-14,Completed,95.8,Certified
T-00638,U-030,P-01384,Safety,2026-03-01,Completed,71.0,Pending
T-00639,U-013,P-02502,Advanced,2025-07-16,Completed,85.6,Certified
T-00640,U-057,P-02938,Advanced,2025-03-30,Completed,72.4,Pending
T-00641,U-007,P-00144,Safety,2026-04-01,Completed,94.4,Certified
T-00642,U-025,P-00340,Advanced,2025-06-30,Completed,80.5,Certified
T-00643,U-027,P-00821,Core,2025-12-29,Completed,86.6,Certified
T-00644,U-012,P-01202,Advanced,2026-04-10,Completed,70.3,Pending
T-00645,U-050,P-02291,Leadership,2025-06-15,Completed,87.8,Certified
T-00646,U-029,P-02581,Advanced,2025-08-09,Completed,72.1,Pending
T-00647,U-054,P-01351,Core,2025-08-27,Completed,74.3,Pending
T-00648,U-047,P-00060,Leadership,2026-06-06,Completed,83.0,Certified
T-00649,U-021,P-02487,Safety,2025-01-13,Completed,99.0,Certified
T-00650,U-044,P-01974,Leadership,2026-05-23,Completed,86.3,Certified
T-00651,U-041,P-02331,Advanced,2026-06-22,Completed,99.6,Certified
T-00652,U-007,P-00444,Core,2026-08-05,Completed,99.9,Certified
T-00653,U-037,P-01190,Leadership,2025-10-07,Completed,80.3,Certified
T-00654,U-047,P-01593,Advanced,2025-03-27,Incomplete,60.3,Pending
T-00655,U-020,P-02452,Core,2025-02-06,Completed,86.3,Certified
T-00656,U-045,P-00582,Safety,2025-12-11,Incomplete,68.0,Pending
T-00657,U-020,P-00464,Safety,2026-06-17,Completed,77.2,Pending
T-00658,U-007,P-01624,Leadership,2025-08-04,Completed,95.8,Certified
T-00659,U-030,P-01365,Advanced,2026-04-30,Incomplete,64.2,Pending
T-00660,U-038,P-00141,Leadership,2026-02-23,Incomplete,60.9,Pending
T-00661,U-006,P-01780,Safety,2026-07-07,Completed,77.6,Pending
T-00662,U-025,P-01101,Core,2026-01-30,Incomplete,64.6,Pending
T-00663,U-011,P-00662,Core,2026-02-19,Completed,96.1,Certified
T-00664,U-012,P-01453,Core,2025-11-09,Completed,93.8,Certified
T-00665,U-056,P-02871,Leadership,2025-07-31,Completed,82.7,Certified
T-00666,U-038,P-02514,Safety,2025-10-25,Completed,97.1,Certified
T-00667,U-009,P-00824,Safety,2025-12-29,Incomplete,58.5,Pending
T-00668,U-037,P-01798,Core,2025-07-29,Completed,77.3,Pending
T-00669,U-017,P-02787,Advanced,2026-04-18,Incomplete,57.5,Pending
T-00670,U-001,P-01354,Core,2026-07-25,Completed,80.8,Certified
T-00671,U-020,P-02579,Safety,2026-07-16,Completed,79.6,Pending
T-00672,U-060,P-01569,Advanced,2025-12-06,Completed,82.4,Certified
T-00673,U-031,P-02136,Safety,2025-06-14,Incomplete,68.5,Pending
T-00674,U-027,P-00772,Safety,2025-12-08,Incomplete,59.5,Pending
T-00675,U-026,P-00685,Advanced,2025-12-20,Completed,88.4,Certified
T-00676,U-039,P-02897,Leadership,2025-02-16,Completed,94.1,Certified
T-00677,U-051,P-01738,Core,2026-06-09,Incomplete,61.3,Pending
T-00678,U-041,P-00441,Safety,2025-02-18,Completed,79.8,Pending
T-00679,U-036,P-02676,Core,2025-11-21,Completed,80.8,Certified
T-00680,U-057,P-00509,Safety,2025-04-17,Completed,90.9,Certified
T-00681,U-058,P-01196,Core,2026-07-26,Incomplete,55.1,Pending
T-00682,U-006,P-01429,Core,2025-09-05,Incomplete,55.6,Pending
T-00683,U-060,P-02763,Safety,2025-06-15,Incomplete,67.0,Pending
T-00684,U-046,P-02464,Advanced,2026-03-01,Completed,86.0,Certified
T-00685,U-026,P-01044,Advanced,2025-06-25,Incomplete,58.2,Pending
T-00686,U-055,P-01688,Advanced,2025-11-24,Incomplete,68.6,Pending
T-00687,U-045,P-02835,Advanced,2026-08-12,Incomplete,67.0,Pending
T-00688,U-038,P-00731,Advanced,2026-02-12,Incomplete,67.8,Pending
T-00689,U-028,P-00054,Advanced,2025-09-17,Completed,93.1,Certified
T-00690,U-006,P-00108,Core,2026-04-10,Completed,79.2,Pending
T-00691,U-022,P-01160,Safety,2025-05-22,Completed,86.9,Certified
T-00692,U-012,P-01505,Leadership,2026-06-25,Completed,85.3,Certified
T-00693,U-006,P-02668,Advanced,2026-04-09,Completed,70.2,Pending
T-00694,U-049,P-01772,Advanced,2025-01-20,Completed,77.6,Pending
T-00695,U-026,P-02329,Core,2025-06-19,Incomplete,59.4,Pending
T-00696,U-051,P-00625,Leadership,2026-02-04,Incomplete,68.8,Pending
T-00697,U-053,P-00504,Advanced,2026-07-04,Completed,97.1,Certified
T-00698,U-001,P-00161,Leadership,2025-01-02,Completed,82.2,Certified
T-00699,U-011,P-00662,Leadership,2025-01-16,Incomplete,55.4,Pending
T-00700,U-013,P-02488,Advanced,2026-01-02,Completed,74.6,Pending
T-00701,U-044,P-00416,Safety,2025-03-21,Completed,92.4,Certified
T-00702,U-042,P-00307,Advanced,2025-08-30,Completed,76.1,Pending
T-00703,U-036,P-00481,Advanced,2025-12-25,Completed,74.8,Pending
T-00704,U-031,P-00835,Leadership,2025-01-02,Incomplete,65.8,Pending
T-00705,U-033,P-02177,Safety,2025-08-30,Completed,72.5,Pending
T-00706,U-039,P-01916,Safety,2026-07-18,Completed,89.4,Certified
T-00707,U-024,P-01888,Safety,2025-07-23,Incomplete,63.1,Pending
T-00708,U-039,P-01914,Advanced,2025-02-06,Incomplete,58.9,Pending
T-00709,U-054,P-02805,Advanced,2025-09-03,Incomplete,60.2,Pending
T-00710,U-009,P-00931,Advanced,2025-07-10,Incomplete,56.1,Pending
T-00711,U-060,P-01379,Leadership,2025-10-06,Completed,97.8,Certified
T-00712,U-041,P-01823,Core,2025-07-15,Completed,89.4,Certified
T-00713,U-029,P-00967,Core,2026-01-01,Incomplete,58.1,Pending
T-00714,U-052,P-00375,Advanced,2025-10-25,Completed,81.8,Certified
T-00715,U-032,P-02210,Safety,2025-06-11,Completed,88.8,Certified
T-00716,U-036,P-00578,Leadership,2025-07-22,Completed,73.6,Pending
T-00717,U-005,P-00356,Advanced,2025-01-19,Completed,71.6,Pending
T-00718,U-001,P-02429,Core,2025-07-31,Completed,94.6,Certified
T-00719,U-016,P-02630,Safety,2026-08-06,Completed,98.3,Certified
T-00720,U-028,P-00482,Safety,2026-01-26,Incomplete,66.1,Pending
T-00721,U-004,P-02624,Leadership,2026-03-19,Completed,70.4,Pending
T-00722,U-028,P-02033,Leadership,2025-11-10,Incomplete,59.0,Pending
T-00723,U-008,P-01716,Advanced,2025-12-03,Completed,94.7,Certified
T-00724,U-021,P-00342,Safety,2025-11-29,Completed,88.6,Certified
T-00725,U-028,P-00692,Advanced,2025-08-06,Incomplete,63.3,Pending
T-00726,U-055,P-00571,Advanced,2025-11-13,Completed,94.7,Certified
T-00727,U-038,P-02096,Advanced,2026-04-03,Completed,84.7,Certified
T-00728,U-018,P-02509,Safety,2026-02-21,Completed,80.6,Certified
T-00729,U-018,P-01456,Leadership,2025-11-19,Completed,98.8,Certified
T-00730,U-041,P-02252,Advanced,2025-12-21,Incomplete,65.8,Pending
T-00731,U-045,P-00723,Leadership,2025-01-01,Incomplete,60.4,Pending
T-00732,U-007,P-02800,Core,2026-03-20,Completed,72.4,Pending
T-00733,U-029,P-01182,Advanced,2025-03-20,Incomplete,59.0,Pending
T-00734,U-046,P-01325,Advanced,2025-11-12,Incomplete,67.6,Pending
