mission_id,unit_id,mission_type,region,start_date,end_date,mission_status,personnel_deployed,equipment_deployed,mission_priority
MS-00318,U-002,Training,Base 02,2025-07-06,2025-07-12,Completed,154,33,Critical
MS-00319,U-004,Transport,Base 04,2025-05-08,2025-05-11,Planned,193,3,Routine
MS-00320,U-041,Training,Base 41,2025-07-26,2025-08-05,Active,214,36,Routine
MS-00321,U-020,Support,Base 20,2025-02-06,2025-02-21,Active,83,3,High
MS-00322,U-023,Exercise,Base 23,2025-11-02,2025-11-13,Planned,167,26,Routine
MS-00323,U-026,Support,Base 26,2026-01-04,2026-01-19,Completed,129,3,Critical
MS-00324,U-028,Training,Base 28,2026-02-25,2026-03-12,Active,178,40,Routine
MS-00325,U-027,Exercise,Base 27,2026-01-20,2026-01-26,Planned,185,33,High
MS-00326,U-013,Exercise,Base 13,2026-08-12,2026-08-17,Completed,192,20,Routine
MS-00327,U-027,Support,Base 27,2025-07-10,2025-07-14,Active,128,6,Critical
MS-00328,U-010,Exercise,Base 10,2025-03-18,2025-03-27,Active,80,4,Routine
MS-00329,U-035,Training,Base 35,2026-05-16,2026-05-20,Planned,300,3,Routine
MS-00330,U-029,Exercise,Base 29,2026-05-27,2026-06-10,Planned,226,37,High
MS-00331,U-059,Training,Base 59,2025-01-12,2025-01-26,Completed,240,34,Critical
MS-00332,U-033,Support,Base 33,2025-11-02,2025-11-16,Active,65,29,High
MS-00333,U-003,Support,Base 03,2026-07-10,2026-07-14,Planned,53,13,High
MS-00334,U-009,Exercise,Base 09,2025-10-28,2025-10-30,Completed,47,25,High
MS-00335,U-013,Transport,Base 13,2025-08-24,2025-08-31,Planned,284,40,Critical
MS-00336,U-017,Support,Base 17,2026-05-05,2026-05-14,Completed,147,39,High
MS-00337,U-053,Training,Base 53,2025-08-08,2025-08-11,Completed,284,2,Routine
MS-00338,U-053,Support,Base 53,2025-12-11,2025-12-22,Completed,286,20,Critical
MS-00339,U-027,Exercise,Base 27,2025-06-06,2025-06-07,Active,113,16,Routine
MS-00340,U-011,Exercise,Base 11,2025-01-12,2025-01-27,Planned,89,26,Critical
MS-00341,U-035,Exercise,Base 35,2026-02-13,2026-02-27,Active,271,16,Critical
MS-00342,U-023,Transport,Base 23,2025-11-28,2025-12-04,Completed,45,24,Routine
MS-00343,U-041,Exercise,Base 41,2026-07-11,2026-07-25,Planned,258,26,Routine
MS-00344,U-020,Training,Base 20,2025-06-13,2025-06-26,Completed,90,20,High
MS-00345,U-015,Training,Base 15,2026-02-26,2026-03-06,Planned,21,18,Critical
MS-00346,U-050,Exercise,Base 50,2025-04-02,2025-04-03,Planned,40,5,Critical
MS-00347,U-057,Training,Base 57,2025-07-02,2025-07-17,Completed,72,14,High
MS-00348,U-043,Transport,Base 43,2026-05-04,2026-05-18,Planned,203,27,High
MS-00349,U-009,Support,Base 09,2026-01-16,2026-01-24,Completed,129,7,High
MS-00350,U-032,Exercise,Base 32,2025-03-13,2025-03-19,Active,246,13,High
MS-00351,U-027,Training,Base 27,2025-12-19,2025-12-23,Active,274,14,High
MS-00352,U-013,Exercise,Base 13,2025-11-11,2025-11-21,Active,32,3,Routine
MS-00353,U-011,Support,Base 11,2025-09-14,2025-09-15,Active,87,30,High
MS-00354,U-025,Training,Base 25,2025-01-29,2025-02-05,Active,211,39,High
MS-00355,U-049,Training,Base 49,2026-04-28,2026-05-03,Completed,76,8,Routine
MS-00356,U-047,Transport,Base 47,2026-05-31,2026-06-09,Completed,109,7,High
MS-00357,U-048,Training,Base 48,2025-06-29,2025-07-04,Planned,96,6,Critical
MS-00358,U-040,Exercise,Base 40,2025-09-20,2025-10-01,Planned,167,32,Critical
MS-00359,U-047,Exercise,Base 47,2026-07-31,2026-08-04,Completed,265,9,High
MS-00360,U-005,Transport,Base 05,2026-03-04,2026-03-17,Planned,277,38,Critical
MS-00361,U-042,Support,Base 42,2025-03-19,2025-03-26,Active,291,10,High
MS-00362,U-057,Exercise,Base 57,2025-11-12,2025-11-17,Completed,196,2,Critical
MS-00363,U-030,Support,Base 30,2025-09-02,2025-09-06,Active,286,32,Routine
MS-00364,U-015,Support,Base 15,2026-06-11,2026-06-23,Completed,107,39,Critical
MS-00365,U-024,Training,Base 24,2025-06-09,2025-06-10,Completed,248,16,High
MS-00366,U-020,Training,Base 20,2025-11-10,2025-11-25,Active,170,26,High
MS-00367,U-031,Training,Base 31,2025-09-21,2025-10-05,Completed,82,17,Routine
MS-00368,U-006,Exercise,Base 06,2025-01-15,2025-01-28,Completed,85,12,Critical
MS-00369,U-005,Exercise,Base 05,2026-06-28,2026-07-04,Planned,201,36,Critical
MS-00370,U-005,Support,Base 05,2025-06-17,2025-06-24,Planned,289,28,High
MS-00371,U-003,Support,Base 03,2026-06-05,2026-06-09,Active,141,25,Routine
MS-00372,U-005,Transport,Base 05,2025-09-10,2025-09-22,Active,108,22,Critical
MS-00373,U-017,Transport,Base 17,2026-08-13,2026-08-19,Completed,29,15,Routine
MS-00374,U-031,Exercise,Base 31,2026-02-16,2026-02-17,Active,129,12,High
MS-00375,U-031,Training,Base 31,2025-02-25,2025-03-01,Active,281,8,High
MS-00376,U-006,Support,Base 06,2025-10-12,2025-10-16,Completed,203,30,High
MS-00377,U-046,Transport,Base 46,2025-12-18,2026-01-01,Completed,82,30,Routine
MS-00378,U-049,Exercise,Base 49,2025-07-18,2025-07-20,Completed,193,18,Critical
MS-00379,U-030,Transport,Base 30,2026-02-06,2026-02-14,Planned,66,25,Critical
MS-00380,U-037,Training,Base 37,2025-03-17,2025-03-24,Completed,191,7,High
MS-00381,U-010,Training,Base 10,2026-07-26,2026-07-31,Active,59,15,High
MS-00382,U-004,Training,Base 04,2025-04-27,2025-05-11,Active,175,32,Routine
MS-00383,U-057,Support,Base 57,2025-06-27,2025-07-07,Planned,165,23,Routine
MS-00384,U-007,Training,Base 07,2026-08-01,2026-08-13,Completed,61,26,High
MS-00385,U-051,Exercise,Base 51,2025-10-25,2025-11-03,Planned,27,23,High
MS-00386,U-055,Exercise,Base 55,2025-01-11,2025-01-20,Completed,135,35,Critical
MS-00387,U-052,Transport,Base 52,2025-01-14,2025-01-27,Active,29,31,Critical
MS-00388,U-026,Exercise,Base 26,2025-04-20,2025-05-04,Planned,257,39,Critical
MS-00389,U-051,Transport,Base 51,2026-03-13,2026-03-25,Planned,60,16,Routine
MS-00390,U-007,Training,Base 07,2026-07-24,2026-07-25,Planned,287,31,Critical
MS-00391,U-048,Transport,Base 48,2025-03-20,2025-03-28,Completed,81,29,High
MS-00392,U-005,Transport,Base 05,2026-03-10,2026-03-17,Completed,45,38,Critical
MS-00393,U-058,Training,Base 58,2026-03-17,2026-03-25,Planned,293,23,Routine
MS-00394,U-047,Support,Base 47,2026-03-12,2026-03-13,Active,208,11,Critical
MS-00395,U-034,Training,Base 34,2026-01-10,2026-01-20,Completed,50,6,High
MS-00396,U-059,Exercise,Base 59,2025-10-23,2025-11-03,Completed,29,27,Critical
MS-00397,U-051,Transport,Base 51,2026-07-25,2026-07-27,Active,298,37,Critical
MS-00398,U-006,Training,Base 06,2025-03-24,2025-04-04,Completed,293,33,Routine
MS-00399,U-018,Exercise,Base 18,2026-06-08,2026-06-17,Completed,79,18,Critical
MS-00400,U-058,Training,Base 58,2026-02-18,2026-02-26,Completed,254,8,Critical
MS-00401,U-025,Transport,Base 25,2026-08-09,2026-08-14,Active,91,14,Routine
MS-00402,U-051,Transport,Base 51,2025-07-25,2025-07-28,Planned,217,37,Routine
MS-00403,U-040,Transport,Base 40,2026-01-27,2026-02-04,Active,132,24,High
MS-00404,U-002,Exercise,Base 02,2025-02-16,2025-02-23,Planned,169,24,Routine
MS-00405,U-041,Support,Base 41,2025-05-30,2025-06-11,Completed,51,13,Routine
MS-00406,U-034,Support,Base 34,2026-04-01,2026-04-02,Active,295,9,High
MS-00407,U-047,Training,Base 47,2026-04-22,2026-05-06,Active,160,2,Critical
MS-00408,U-026,Training,Base 26,2025-07-08,2025-07-11,Planned,102,11,High
MS-00409,U-050,Transport,Base 50,2026-08-05,2026-08-09,Completed,238,12,Routine
MS-00410,U-055,Transport,Base 55,2025-01-06,2025-01-10,Active,247,10,High
MS-00411,U-052,Exercise,Base 52,2025-05-20,2025-05-27,Completed,257,25,High
MS-00412,U-057,Transport,Base 57,2025-01-16,2025-01-26,Completed,129,3,Routine
MS-00413,U-030,Support,Base 30,2025-11-28,2025-12-06,Completed,211,5,Critical
MS-00414,U-050,Support,Base 50,2026-06-13,2026-06-14,Planned,225,37,Routine
MS-00415,U-037,Exercise,Base 37,2025-09-24,2025-10-08,Completed,46,19,Critical
MS-00416,U-045,Training,Base 45,2026-03-06,2026-03-09,Planned,172,10,High
MS-00417,U-047,Exercise,Base 47,2025-03-28,2025-04-04,Active,251,35,Routine
MS-00418,U-003,Training,Base 03,2025-10-03,2025-10-06,Active,105,35,Critical
MS-00419,U-036,Support,Base 36,2025-06-22,2025-07-02,Completed,269,2,Critical
MS-00420,U-057,Training,Base 57,2026-03-27,2026-03-28,Active,181,12,Critical
MS-00421,U-020,Transport,Base 20,2025-06-27,2025-07-02,Active,64,4,Routine
MS-00422,U-040,Support,Base 40,2026-08-11,2026-08-24,Active,68,3,Routine
MS-00423,U-026,Transport,Base 26,2026-04-29,2026-05-13,Active,38,39,Routine
MS-00424,U-047,Transport,Base 47,2025-12-15,2025-12-18,Completed,32,39,Critical
MS-00425,U-014,Exercise,Base 14,2025-04-21,2025-04-30,Active,141,19,Routine
MS-00426,U-002,Exercise,Base 02,2026-04-13,2026-04-18,Planned,131,4,High
MS-00427,U-048,Transport,Base 48,2025-11-11,2025-11-12,Planned,87,33,Critical
MS-00428,U-023,Training,Base 23,2026-07-12,2026-07-21,Completed,69,40,High
MS-00429,U-018,Transport,Base 18,2026-06-03,2026-06-10,Planned,244,18,Critical
MS-00430,U-057,Support,Base 57,2025-06-09,2025-06-13,Active,295,27,High
MS-00431,U-011,Exercise,Base 11,2025-12-09,2025-12-14,Completed,162,31,Routine
MS-00432,U-060,Transport,Base 60,2026-05-13,2026-05-16,Completed,205,36,Critical
MS-00433,U-058,Exercise,Base 58,2025-11-02,2025-11-09,Completed,63,11,High
MS-00434,U-023,Exercise,Base 23,2025-01-27,2025-01-29,Completed,39,8,Routine
MS-00435,U-052,Exercise,Base 52,2025-10-04,2025-10-18,Planned,73,8,Critical
MS-00436,U-027,Training,Base 27,2025-02-24,2025-03-03,Active,71,3,Critical
MS-00437,U-053,Support,Base 53,2026-02-14,2026-02-21,Planned,112,7,High
MS-00438,U-036,Training,Base 36,2025-10-05,2025-10-08,Planned,29,12,Routine
MS-00439,U-025,Exercise,Base 25,2025-07-19,2025-08-01,Completed,54,4,Critical
MS-00440,U-009,Transport,Base 09,2025-10-15,2025-10-19,Active,202,21,Routine
MS-00441,U-043,Training,Base 43,2025-12-19,2026-01-02,Planned,219,20,Routine
MS-00442,U-037,Exercise,Base 37,2026-02-08,2026-02-20,Completed,108,19,High
MS-00443,U-059,Training,Base 59,2025-05-21,2025-06-01,Active,54,35,Critical
MS-00444,U-037,Exercise,Base 37,2026-05-18,2026-05-25,Active,178,19,High
MS-00445,U-010,Support,Base 10,2025-01-18,2025-01-26,Completed,167,24,High
MS-00446,U-005,Exercise,Base 05,2026-08-14,2026-08-25,Completed,264,14,High
MS-00447,U-045,Exercise,Base 45,2025-06-01,2025-06-06,Active,66,8,High
MS-00448,U-002,Exercise,Base 02,2026-04-20,2026-05-04,Active,243,26,High
MS-00449,U-039,Exercise,Base 39,2025-05-16,2025-05-24,Active,118,35,Routine
MS-00450,U-055,Transport,Base 55,2026-08-01,2026-08-04,Completed,78,16,Critical
MS-00451,U-017,Transport,Base 17,2025-05-27,2025-06-04,Active,233,21,Critical
MS-00452,U-043,Support,Base 43,2026-08-06,2026-08-09,Active,181,30,Routine
MS-00453,U-027,Exercise,Base 27,2025-10-25,2025-11-07,Active,163,34,Critical
MS-00454,U-037,Support,Base 37,2026-01-04,2026-01-09,Active,156,16,Critical
MS-00455,U-018,Training,Base 18,2026-01-08,2026-01-13,Completed,222,15,Critical
MS-00456,U-031,Exercise,Base 31,2025-03-23,2025-04-06,Active,91,4,High
MS-00457,U-014,Transport,Base 14,2025-09-04,2025-09-19,Completed,202,39,Critical
MS-00458,U-046,Transport,Base 46,2026-05-04,2026-05-14,Completed,181,27,High
MS-00459,U-023,Transport,Base 23,2026-03-05,2026-03-12,Planned,236,33,High
MS-00460,U-026,Transport,Base 26,2026-03-28,2026-04-07,Planned,67,16,High
MS-00461,U-045,Exercise,Base 45,2026-06-07,2026-06-14,Planned,162,2,Routine
MS-00462,U-011,Support,Base 11,2025-11-05,2025-11-08,Active,236,18,Critical
MS-00463,U-023,Support,Base 23,2025-07-24,2025-08-07,Planned,165,20,Critical
MS-00464,U-041,Exercise,Base 41,2025-05-17,2025-05-22,Completed,68,2,Routine
MS-00465,U-019,Support,Base 19,2026-08-09,2026-08-15,Planned,41,5,High
MS-00466,U-054,Exercise,Base 54,2026-05-30,2026-06-12,Planned,118,29,High
MS-00467,U-005,Training,Base 05,2025-10-27,2025-11-06,Active,185,40,Critical
MS-00468,U-006,Support,Base 06,2026-07-04,2026-07-12,Completed,200,15,Critical
MS-00469,U-030,Exercise,Base 30,2026-08-14,2026-08-15,Completed,254,36,Routine
MS-00470,U-049,Exercise,Base 49,2025-09-19,2025-09-20,Planned,45,33,High
MS-00471,U-003,Exercise,Base 03,2025-12-06,2025-12-17,Active,185,19,High
MS-00472,U-008,Training,Base 08,2025-08-03,2025-08-08,Active,84,40,High
MS-00473,U-012,Exercise,Base 12,2025-06-02,2025-06-13,Planned,190,39,High
MS-00474,U-001,Exercise,Base 01,2025-07-15,2025-07-18,Planned,69,25,High
MS-00475,U-059,Transport,Base 59,2026-08-11,2026-08-21,Planned,208,38,Routine
MS-00476,U-059,Exercise,Base 59,2025-10-02,2025-10-12,Planned,244,9,High
MS-00477,U-026,Transport,Base 26,2025-12-13,2025-12-28,Active,214,4,Routine
MS-00478,U-035,Exercise,Base 35,2025-03-30,2025-04-10,Completed,20,15,Routine
MS-00479,U-036,Support,Base 36,2025-02-15,2025-02-18,Planned,201,14,Critical
MS-00480,U-013,Exercise,Base 13,2026-02-11,2026-02-26,Completed,156,9,High
MS-00481,U-038,Exercise,Base 38,2025-06-09,2025-06-20,Completed,193,6,High
MS-00482,U-054,Exercise,Base 54,2026-07-13,2026-07-27,Active,70,20,High
MS-00483,U-036,Support,Base 36,2026-05-26,2026-06-02,Active,80,33,Routine
MS-00484,U-031,Support,Base 31,2025-01-15,2025-01-17,Completed,126,36,High
MS-00485,U-023,Support,Base 23,2025-02-12,2025-02-18,Completed,223,31,Routine
MS-00486,U-006,Exercise,Base 06,2025-07-23,2025-07-26,Active,123,6,Critical
MS-00487,U-058,Transport,Base 58,2025-07-09,2025-07-13,Completed,215,26,Critical
MS-00488,U-025,Exercise,Base 25,2025-05-12,2025-05-16,Planned,213,13,Routine
MS-00489,U-022,Transport,Base 22,2025-08-21,2025-09-04,Completed,27,26,Routine
MS-00490,U-005,Training,Base 05,2025-10-26,2025-11-07,Active,87,2,High
MS-00491,U-046,Transport,Base 46,2026-07-21,2026-07-31,Planned,164,18,High
MS-00492,U-024,Support,Base 24,2025-08-14,2025-08-21,Active,34,32,High
MS-00493,U-034,Support,Base 34,2025-04-22,2025-05-06,Planned,116,25,Routine
MS-00494,U-014,Training,Base 14,2025-09-08,2025-09-23,Planned,160,6,High
MS-00495,U-023,Exercise,Base 23,2025-04-24,2025-05-05,Active,249,24,High
MS-00496,U-024,Support,Base 24,2026-07-03,2026-07-09,Completed,153,34,Critical
MS-00497,U-016,Training,Base 16,2026-06-03,2026-06-12,Planned,212,7,Routine
MS-00498,U-013,Training,Base 13,2025-12-15,2025-12-25,Active,193,2,High
MS-00499,U-052,Exercise,Base 52,2025-07-30,2025-08-11,Planned,51,32,Routine
MS-00500,U-037,Transport,Base 37,2025-09-14,2025-09-21,Active,218,29,High
MS-00501,U-029,Exercise,Base 29,2025-07-18,2025-08-02,Active,227,13,Critical
MS-00502,U-034,Support,Base 34,2026-02-11,2026-02-15,Planned,254,23,High
MS-00503,U-032,Exercise,Base 32,2025-01-24,2025-02-04,Active,112,7,High
MS-00504,U-013,Support,Base 13,2026-01-03,2026-01-18,Planned,136,38,High
MS-00505,U-011,Support,Base 11,2026-04-01,2026-04-10,Planned,96,36,Critical
MS-00506,U-008,Training,Base 08,2025-12-26,2026-01-01,Planned,215,2,High
MS-00507,U-004,Training,Base 04,2025-06-29,2025-07-04,Completed,255,31,Routine
MS-00508,U-025,Exercise,Base 25,2025-10-15,2025-10-19,Active,192,33,Critical
MS-00509,U-060,Support,Base 60,2025-06-12,2025-06-17,Planned,165,10,Routine
MS-00510,U-057,Exercise,Base 57,2025-11-29,2025-12-06,Planned,284,21,Routine
MS-00511,U-049,Support,Base 49,2025-09-11,2025-09-22,Planned,219,3,High
MS-00512,U-045,Training,Base 45,2025-05-29,2025-06-02,Planned,95,16,Critical
MS-00513,U-008,Transport,Base 08,2025-05-21,2025-05-29,Planned,277,32,High
MS-00514,U-023,Transport,Base 23,2025-09-20,2025-09-27,Planned,27,14,Critical
MS-00515,U-008,Training,Base 08,2026-07-10,2026-07-19,Completed,204,39,Routine
MS-00516,U-031,Exercise,Base 31,2025-11-15,2025-11-29,Planned,110,40,Critical
MS-00517,U-027,Transport,Base 27,2025-10-29,2025-11-13,Completed,286,10,High
MS-00518,U-032,Transport,Base 32,2025-05-08,2025-05-18,Active,82,39,High
MS-00519,U-008,Training,Base 08,2025-08-21,2025-08-26,Completed,248,32,Routine
MS-00520,U-038,Exercise,Base 38,2025-04-09,2025-04-18,Planned,165,21,Routine
MS-00521,U-047,Transport,Base 47,2025-04-30,2025-05-08,Planned,20,37,Routine
MS-00522,U-013,Training,Base 13,2025-04-01,2025-04-03,Completed,93,24,Critical
MS-00523,U-055,Support,Base 55,2026-07-14,2026-07-25,Planned,284,18,Critical
MS-00524,U-017,Training,Base 17,2025-06-24,2025-06-26,Planned,279,3,High
MS-00525,U-024,Exercise,Base 24,2025-11-30,2025-12-03,Planned,210,9,Routine
MS-00526,U-007,Transport,Base 07,2026-05-04,2026-05-17,Planned,177,30,High
MS-00527,U-028,Training,Base 28,2025-08-23,2025-08-29,Active,277,15,High
MS-00528,U-002,Training,Base 02,2025-11-07,2025-11-08,Planned,103,14,High
MS-00529,U-049,Support,Base 49,2025-05-07,2025-05-13,Active,212,34,Routine
MS-00530,U-008,Exercise,Base 08,2025-05-21,2025-06-05,Active,208,34,Routine
MS-00531,U-050,Training,Base 50,2025-09-04,2025-09-14,Planned,189,7,Critical
MS-00532,U-051,Support,Base 51,2026-03-19,2026-03-31,Completed,211,11,High
MS-00533,U-003,Transport,Base 03,2026-01-10,2026-01-19,Planned,258,13,Routine
MS-00534,U-053,Exercise,Base 53,2026-01-07,2026-01-20,Planned,282,35,High
MS-00535,U-050,Support,Base 50,2026-01-02,2026-01-16,Active,99,30,High
MS-00536,U-051,Support,Base 51,2025-02-04,2025-02-10,Planned,165,24,Critical
MS-00537,U-052,Transport,Base 52,2025-11-24,2025-12-08,Completed,89,12,Routine
MS-00538,U-021,Training,Base 21,2025-10-29,2025-11-13,Active,76,13,Critical
MS-00539,U-033,Training,Base 33,2026-07-31,2026-08-08,Active,147,25,Critical
MS-00540,U-056,Training,Base 56,2025-08-30,2025-08-31,Planned,239,15,Routine
MS-00541,U-014,Exercise,Base 14,2025-02-22,2025-03-05,Active,245,7,Critical
MS-00542,U-056,Transport,Base 56,2025-12-29,2026-01-13,Completed,240,14,Routine
MS-00543,U-039,Exercise,Base 39,2026-01-19,2026-01-26,Completed,84,6,High
MS-00544,U-045,Training,Base 45,2026-03-10,2026-03-15,Planned,212,15,High
MS-00545,U-019,Exercise,Base 19,2026-05-19,2026-05-23,Planned,28,15,High
MS-00546,U-026,Training,Base 26,2025-09-07,2025-09-18,Planned,47,10,High
MS-00547,U-041,Training,Base 41,2026-06-08,2026-06-22,Active,253,23,Critical
MS-00548,U-017,Transport,Base 17,2025-01-21,2025-01-25,Active,292,37,High
MS-00549,U-022,Transport,Base 22,2026-07-14,2026-07-17,Active,279,34,Critical
MS-00550,U-031,Exercise,Base 31,2026-02-04,2026-02-12,Active,256,19,High
MS-00551,U-004,Support,Base 04,2025-01-11,2025-01-26,Completed,66,2,High
MS-00552,U-056,Support,Base 56,2026-07-29,2026-08-11,Planned,250,3,Routine
MS-00553,U-024,Training,Base 24,2025-04-01,2025-04-03,Planned,157,38,High
MS-00554,U-017,Exercise,Base 17,2025-12-13,2025-12-27,Active,264,5,High
MS-00555,U-018,Exercise,Base 18,2025-09-22,2025-10-05,Planned,262,6,Critical
MS-00556,U-012,Support,Base 12,2025-11-25,2025-12-08,Completed,234,8,Routine
MS-00557,U-021,Transport,Base 21,2025-12-03,2025-12-06,Completed,35,10,High
MS-00558,U-036,Exercise,Base 36,2025-07-08,2025-07-10,Completed,52,9,Routine
MS-00559,U-060,Support,Base 60,2025-01-31,2025-02-10,Completed,117,9,Routine
MS-00560,U-050,Transport,Base 50,2026-03-21,2026-04-01,Planned,83,24,Routine
MS-00561,U-010,Transport,Base 10,2025-07-30,2025-08-05,Active,236,3,Critical
MS-00562,U-052,Exercise,Base 52,2026-05-07,2026-05-22,Planned,131,33,High
MS-00563,U-025,Exercise,Base 25,2026-04-24,2026-05-05,Planned,51,26,Routine
MS-00564,U-028,Transport,Base 28,2025-02-24,2025-03-08,Active,234,20,Routine
MS-00565,U-023,Exercise,Base 23,2025-04-08,2025-04-17,Active,111,37,Critical
MS-00566,U-018,Exercise,Base 18,2025-01-23,2025-02-03,Completed,163,4,High
MS-00567,U-040,Transport,Base 40,2025-01-21,2025-01-25,Planned,118,22,Routine
MS-00568,U-007,Support,Base 07,2026-04-11,2026-04-23,Active,168,29,Routine
MS-00569,U-023,Support,Base 23,2026-01-02,2026-01-05,Completed,61,6,Routine
MS-00570,U-060,Exercise,Base 60,2025-09-24,2025-09-29,Planned,73,10,High
MS-00571,U-047,Support,Base 47,2026-07-17,2026-07-31,Completed,209,36,Critical
MS-00572,U-015,Support,Base 15,2025-12-02,2025-12-10,Active,294,15,Critical
MS-00573,U-042,Transport,Base 42,2026-02-24,2026-03-03,Active,229,19,High
MS-00574,U-049,Transport,Base 49,2026-02-20,2026-02-28,Active,130,7,Critical
MS-00575,U-024,Training,Base 24,2026-05-19,2026-05-25,Planned,73,13,Critical
MS-00576,U-016,Transport,Base 16,2025-09-16,2025-09-30,Planned,150,15,Routine
MS-00577,U-030,Transport,Base 30,2026-07-21,2026-07-27,Completed,277,18,High
MS-00578,U-039,Support,Base 39,2025-03-05,2025-03-18,Active,49,32,High
MS-00579,U-008,Training,Base 08,2025-11-14,2025-11-28,Completed,36,11,Critical
MS-00580,U-028,Exercise,Base 28,2025-01-14,2025-01-16,Planned,147,30,High
MS-00581,U-054,Exercise,Base 54,2025-03-10,2025-03-19,Active,299,40,Critical
MS-00582,U-007,Training,Base 07,2025-08-13,2025-08-22,Active,77,9,Routine
MS-00583,U-019,Exercise,Base 19,2026-04-16,2026-04-25,Planned,157,19,Critical
MS-00584,U-051,Transport,Base 51,2025-09-17,2025-09-23,Active,88,24,High
MS-00585,U-031,Exercise,Base 31,2025-05-18,2025-06-01,Planned,52,38,Critical
MS-00586,U-051,Exercise,Base 51,2025-12-06,2025-12-21,Active,23,38,High
MS-00587,U-024,Training,Base 24,2025-05-16,2025-05-22,Planned,87,6,High
MS-00588,U-022,Exercise,Base 22,2026-01-01,2026-01-06,Completed,108,2,Routine
MS-00589,U-001,Training,Base 01,2026-06-30,2026-07-11,Completed,172,8,High
MS-00590,U-016,Training,Base 16,2026-04-14,2026-04-17,Active,111,34,High
MS-00591,U-021,Support,Base 21,2026-03-16,2026-03-18,Completed,138,24,High
MS-00592,U-035,Exercise,Base 35,2026-07-26,2026-08-07,Active,272,14,Routine
MS-00593,U-030,Exercise,Base 30,2026-03-03,2026-03-13,Planned,40,17,High
MS-00594,U-031,Support,Base 31,2026-04-08,2026-04-10,Active,24,12,High
MS-00595,U-045,Training,Base 45,2025-07-17,2025-07-28,Completed,132,15,High
MS-00596,U-035,Exercise,Base 35,2025-11-18,2025-11-30,Completed,54,20,Critical
MS-00597,U-018,Exercise,Base 18,2025-02-10,2025-02-18,Completed,240,32,Routine
MS-00598,U-015,Exercise,Base 15,2026-04-15,2026-04-17,Planned,278,11,Routine
MS-00599,U-049,Training,Base 49,2025-02-18,2025-02-25,Planned,36,22,Critical
MS-00600,U-050,Transport,Base 50,2026-01-08,2026-01-17,Planned,257,4,High
MS-00601,U-010,Support,Base 10,2026-01-13,2026-01-25,Completed,259,28,Critical
MS-00602,U-046,Training,Base 46,2026-02-21,2026-03-05,Active,87,25,High
MS-00603,U-038,Training,Base 38,2026-02-06,2026-02-07,Completed,23,13,Critical
MS-00604,U-041,Support,Base 41,2026-04-26,2026-05-09,Completed,85,15,Critical
MS-00605,U-002,Training,Base 02,2026-01-05,2026-01-07,Active,79,27,Critical
MS-00606,U-053,Support,Base 53,2026-03-23,2026-04-02,Completed,217,35,Critical
MS-00607,U-050,Training,Base 50,2025-07-05,2025-07-09,Completed,106,35,Critical
MS-00608,U-056,Transport,Base 56,2025-03-02,2025-03-05,Completed,297,22,Critical
MS-00609,U-044,Transport,Base 44,2025-10-26,2025-11-02,Active,226,34,Critical
MS-00610,U-037,Support,Base 37,2025-12-06,2025-12-09,Active,59,16,Routine
MS-00611,U-047,Transport,Base 47,2025-02-02,2025-02-07,Active,68,32,Critical
MS-00612,U-021,Transport,Base 21,2025-08-04,2025-08-16,Planned,197,28,High
MS-00613,U-056,Exercise,Base 56,2025-12-25,2025-12-30,Completed,232,12,High
MS-00614,U-002,Transport,Base 02,2025-11-13,2025-11-28,Active,227,15,Routine
MS-00615,U-028,Transport,Base 28,2026-01-31,2026-02-14,Active,269,5,Routine
MS-00616,U-004,Support,Base 04,2025-08-15,2025-08-23,Planned,28,18,High
MS-00617,U-018,Exercise,Base 18,2025-05-09,2025-05-12,Planned,40,29,Critical
MS-00618,U-026,Transport,Base 26,2025-01-22,2025-02-05,Planned,276,3,Critical
MS-00619,U-054,Transport,Base 54,2026-07-03,2026-07-10,Planned,23,10,Critical
MS-00620,U-036,Training,Base 36,2025-04-10,2025-04-11,Planned,279,34,Routine
MS-00621,U-029,Transport,Base 29,2025-05-25,2025-05-28,Active,264,23,Routine
MS-00622,U-002,Training,Base 02,2026-07-29,2026-08-12,Completed,94,11,High
MS-00623,U-054,Training,Base 54,2026-03-10,2026-03-25,Completed,135,19,Critical
MS-00624,U-021,Training,Base 21,2026-06-19,2026-06-20,Active,186,4,Routine
MS-00625,U-034,Transport,Base 34,2026-01-16,2026-01-29,Completed,54,20,Critical
MS-00626,U-025,Exercise,Base 25,2025-12-25,2026-01-01,Completed,106,9,Routine
MS-00627,U-029,Transport,Base 29,2025-03-08,2025-03-11,Completed,67,32,Routine
MS-00628,U-033,Training,Base 33,2026-03-06,2026-03-07,Planned,240,34,Routine
MS-00629,U-055,Support,Base 55,2026-05-01,2026-05-16,Active,54,29,High
MS-00630,U-035,Transport,Base 35,2025-11-19,2025-11-27,Active,146,16,Routine
MS-00631,U-043,Exercise,Base 43,2025-11-30,2025-12-12,Planned,228,15,High
MS-00632,U-036,Support,Base 36,2025-04-03,2025-04-04,Active,175,17,High
MS-00633,U-057,Transport,Base 57,2025-05-28,2025-06-08,Completed,78,23,Routine
MS-00634,U-048,Exercise,Base 48,2025-09-03,2025-09-09,Planned,61,36,High
MS-00635,U-045,Support,Base 45,2026-01-25,2026-02-09,Completed,21,19,High
